,teamName,teamId
0,Almeria,9865
1,Arsenal,9825
2,Aston Villa,10252
3,Athletic Club,8315
4,Atletico,9906
5,Augsburg,8406
6,Barcelona,8634
7,Bayer Leverkusen,8178
8,Bayern,9823
9,Bochum,9911
10,Borussia Dortmund,9789
11,Borussia M.Gladbach,9788
12,Bournemouth,8678
13,Brentford,9937
14,Brighton,10204
15,Burnley,8191
16,Cadiz,8385
17,Celta Vigo,9910
18,Chelsea,8455
19,Crystal Palace,9826
20,Darmstadt,8262
21,Deportivo Alaves,9866
22,Eintracht Frankfurt,9810
23,Everton,8668
24,FC Heidenheim,94937
25,FC Koln,8722
26,Freiburg,8358
27,Fulham,9879
28,Getafe,8305
29,Girona,7732
30,Granada,7878
31,Hoffenheim,8226
32,Las Palmas,8306
33,Liverpool,8650
34,Luton Town,8346
35,Mainz,9905
36,Mallorca,8661
37,Man City,8456
38,Man Utd,10260
39,Newcastle,10261
40,Nottingham Forest,10203
41,Osasuna,8371
42,Rayo Vallecano,8370
43,RBL,178475
44,Real Betis,8603
45,Real Madrid,8633
46,Real Sociedad,8560
47,Sevilla,8302
48,Sheffield Utd,8657
49,Stuttgart,10269
50,Tottenham,8586
51,Union Berlin,8149
52,Valencia,10267
53,Villarreal,10205
54,Werder Bremen,8697
55,West Ham,8654
56,Wolfsburg,8721
57,Wolves,8602
