,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
0,585721,3,MissedShots,0.7569999694824219,0.4209999847412109,0.020014220848679543,Julian Weigl,h,372,OpenPlay,2024,RightFoot,27742,Borussia M.Gladbach,Bayer Leverkusen,2,3,2024-08-23 18:30:00,,None
1,585724,14,SavedShot,0.9680000305175781,0.3920000076293945,0.12996548414230347,Rocco Reitz,h,8826,OpenPlay,2024,RightFoot,27742,Borussia M.Gladbach,Bayer Leverkusen,2,3,2024-08-23 18:30:00,,TakeOn
2,585727,20,SavedShot,0.894000015258789,0.27,0.03666945546865463,Tim Kleindienst,h,6142,OpenPlay,2024,RightFoot,27742,Borussia M.Gladbach,Bayer Leverkusen,2,3,2024-08-23 18:30:00,Franck Honorat,Pass
3,585729,29,BlockedShot,0.9119999694824219,0.5120000076293946,0.08353525400161743,Tim Kleindienst,h,6142,SetPiece,2024,LeftFoot,27742,Borussia M.Gladbach,Bayer Leverkusen,2,3,2024-08-23 18:30:00,,None
4,585730,29,BlockedShot,0.7680000305175781,0.5570000076293945,0.02412903681397438,Rocco Reitz,h,8826,SetPiece,2024,RightFoot,27742,Borussia M.Gladbach,Bayer Leverkusen,2,3,2024-08-23 18:30:00,Julian Weigl,Pass
5,585731,33,BlockedShot,0.8780000305175781,0.675,0.0327155664563179,Franck Honorat,h,3314,SetPiece,2024,RightFoot,27742,Borussia M.Gladbach,Bayer Leverkusen,2,3,2024-08-23 18:30:00,Luca Netz,Pass
6,585732,35,BlockedShot,0.8280000305175781,0.5,0.06133052706718445,Tim Kleindienst,h,6142,SetPiece,2024,RightFoot,27742,Borussia M.Gladbach,Bayer Leverkusen,2,3,2024-08-23 18:30:00,Kevin Stöger,Chipped
7,585733,36,MissedShots,0.8380000305175781,0.6229999923706054,0.020235935226082802,Luca Netz,h,8401,FromCorner,2024,LeftFoot,27742,Borussia M.Gladbach,Bayer Leverkusen,2,3,2024-08-23 18:30:00,Kevin Stöger,Chipped
8,585736,41,SavedShot,0.884000015258789,0.5690000152587891,0.07471027225255966,Rocco Reitz,h,8826,SetPiece,2024,LeftFoot,27742,Borussia M.Gladbach,Bayer Leverkusen,2,3,2024-08-23 18:30:00,Nico Elvedi,HeadPass
9,585740,58,SavedShot,0.94,0.49900001525878906,0.5169886350631714,Nico Elvedi,h,212,SetPiece,2024,Head,27742,Borussia M.Gladbach,Bayer Leverkusen,2,3,2024-08-23 18:30:00,Ko Itakura,HeadPass
10,585741,58,Goal,0.9619999694824218,0.5159999847412109,0.7182286381721497,Nico Elvedi,h,212,SetPiece,2024,LeftFoot,27742,Borussia M.Gladbach,Bayer Leverkusen,2,3,2024-08-23 18:30:00,,Rebound
11,585752,81,BlockedShot,0.8580000305175781,0.509000015258789,0.05895397439599037,Franck Honorat,h,3314,OpenPlay,2024,LeftFoot,27742,Borussia M.Gladbach,Bayer Leverkusen,2,3,2024-08-23 18:30:00,Tomás Cvancara,Cross
12,585754,84,Goal,0.93,0.47400001525878904,0.08837828785181046,Tim Kleindienst,h,6142,OpenPlay,2024,RightFoot,27742,Borussia M.Gladbach,Bayer Leverkusen,2,3,2024-08-23 18:30:00,,None
13,585757,95,SavedShot,0.794000015258789,0.75,0.022112924605607986,Nathan N&#039;Goumou Minpol,h,7612,OpenPlay,2024,RightFoot,27742,Borussia M.Gladbach,Bayer Leverkusen,2,3,2024-08-23 18:30:00,Julian Weigl,Pass
14,585722,7,BlockedShot,0.7280000305175781,0.47700000762939454,0.026445582509040833,Florian Wirtz,a,8397,FromCorner,2024,RightFoot,27742,Borussia M.Gladbach,Bayer Leverkusen,2,3,2024-08-23 18:30:00,Granit Xhaka,Pass
15,585723,11,Goal,0.7330000305175781,0.5279999923706055,0.030621811747550964,Granit Xhaka,a,204,OpenPlay,2024,LeftFoot,27742,Borussia M.Gladbach,Bayer Leverkusen,2,3,2024-08-23 18:30:00,,None
16,585725,17,ShotOnPost,0.9219999694824219,0.6459999847412109,0.13464313745498657,Victor Boniface,a,11867,OpenPlay,2024,RightFoot,27742,Borussia M.Gladbach,Bayer Leverkusen,2,3,2024-08-23 18:30:00,,Dispossessed
17,585726,19,SavedShot,0.9009999847412109,0.5770000076293945,0.016122354194521904,Jonathan Tah,a,183,FromCorner,2024,Head,27742,Borussia M.Gladbach,Bayer Leverkusen,2,3,2024-08-23 18:30:00,Álex Grimaldo,Aerial
