,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
0,584609,38,BlockedShot,0.7919999694824219,0.6419999694824219,0.024111762642860413,Abdoulaye Touré,h,3674,OpenPlay,2024,LeftFoot,28048,Le Havre,Paris Saint Germain,1,4,2024-08-16 18:45:00,Josué Casimir,Pass
1,584610,38,SavedShot,0.785,0.37400001525878906,0.028620878234505653,Abdoulaye Touré,h,3674,OpenPlay,2024,RightFoot,28048,Le Havre,Paris Saint Germain,1,4,2024-08-16 18:45:00,,Rebound
2,584611,40,BlockedShot,0.8530000305175781,0.6619999694824219,0.0409565232694149,Antoine Joujou,h,11794,OpenPlay,2024,RightFoot,28048,Le Havre,Paris Saint Germain,1,4,2024-08-16 18:45:00,Yassine Kechta,Chipped
3,584615,47,Goal,0.925,0.6780000305175782,0.05654885247349739,Gautier Lloris,h,3701,SetPiece,2024,LeftFoot,28048,Le Havre,Paris Saint Germain,1,4,2024-08-16 18:45:00,Christopher Operi,Chipped
4,584617,56,MissedShots,0.87,0.3089999961853027,0.04747510701417923,Josué Casimir,h,11789,OpenPlay,2024,RightFoot,28048,Le Havre,Paris Saint Germain,1,4,2024-08-16 18:45:00,Yassine Kechta,TakeOn
5,584607,2,Goal,0.8909999847412109,0.3390000152587891,0.07218705117702484,Lee Kang-In,a,7313,OpenPlay,2024,LeftFoot,28048,Le Havre,Paris Saint Germain,1,4,2024-08-16 18:45:00,Gonçalo Ramos,Pass
6,584608,23,ShotOnPost,0.9130000305175782,0.4929999923706055,0.34943002462387085,Randal Kolo Muani,a,5743,OpenPlay,2024,Head,28048,Le Havre,Paris Saint Germain,1,4,2024-08-16 18:45:00,Achraf Hakimi,Cross
7,584612,44,SavedShot,0.9119999694824219,0.38,0.3695286810398102,Marco Asensio,a,2117,OpenPlay,2024,LeftFoot,28048,Le Havre,Paris Saint Germain,1,4,2024-08-16 18:45:00,Vitinha,Throughball
8,584613,46,BlockedShot,0.7480000305175781,0.265,0.015147823840379715,Vitinha,a,8777,OpenPlay,2024,RightFoot,28048,Le Havre,Paris Saint Germain,1,4,2024-08-16 18:45:00,,None
9,584614,49,SavedShot,0.8980000305175782,0.6819999694824219,0.10557940602302551,Ibrahim Mbaye,a,12733,OpenPlay,2024,LeftFoot,28048,Le Havre,Paris Saint Germain,1,4,2024-08-16 18:45:00,Marco Asensio,Pass
10,584616,52,SavedShot,0.9259999847412109,0.33099998474121095,0.2196003645658493,Randal Kolo Muani,a,5743,OpenPlay,2024,RightFoot,28048,Le Havre,Paris Saint Germain,1,4,2024-08-16 18:45:00,Marco Asensio,Pass
11,584618,60,SavedShot,0.894000015258789,0.655,0.0750918984413147,Lee Kang-In,a,7313,OpenPlay,2024,LeftFoot,28048,Le Havre,Paris Saint Germain,1,4,2024-08-16 18:45:00,Marco Asensio,Pass
12,584619,62,SavedShot,0.9169999694824219,0.27899999618530275,0.29475733637809753,Marco Asensio,a,2117,OpenPlay,2024,RightFoot,28048,Le Havre,Paris Saint Germain,1,4,2024-08-16 18:45:00,Vitinha,Throughball
13,584620,62,BlockedShot,0.9480000305175781,0.2560000038146973,0.029687687754631042,Marco Asensio,a,2117,OpenPlay,2024,LeftFoot,28048,Le Havre,Paris Saint Germain,1,4,2024-08-16 18:45:00,,Rebound
14,584621,63,MissedShots,0.914000015258789,0.5279999923706055,0.08871188014745712,William Pacho,a,11910,FromCorner,2024,Head,28048,Le Havre,Paris Saint Germain,1,4,2024-08-16 18:45:00,Lee Kang-In,Cross
15,584622,80,MissedShots,0.83,0.3170000076293945,0.0350736565887928,Ousmane Dembélé,a,3226,OpenPlay,2024,LeftFoot,28048,Le Havre,Paris Saint Germain,1,4,2024-08-16 18:45:00,Warren Zaïre-Emery,Pass
16,584623,82,SavedShot,0.9259999847412109,0.47,0.05212806165218353,Randal Kolo Muani,a,5743,FromCorner,2024,Head,28048,Le Havre,Paris Saint Germain,1,4,2024-08-16 18:45:00,Ousmane Dembélé,Aerial
17,584624,84,Goal,0.9230000305175782,0.4879999923706055,0.4028494358062744,Ousmane Dembélé,a,3226,OpenPlay,2024,Head,28048,Le Havre,Paris Saint Germain,1,4,2024-08-16 18:45:00,João Neves,Cross
18,584625,85,Goal,0.8680000305175781,0.7140000152587891,0.04868490993976593,Bradley Barcola,a,10016,OpenPlay,2024,RightFoot,28048,Le Havre,Paris Saint Germain,1,4,2024-08-16 18:45:00,João Neves,Chipped
19,584626,89,Goal,0.885,0.5,0.7600951194763184,Randal Kolo Muani,a,5743,Penalty,2024,RightFoot,28048,Le Havre,Paris Saint Germain,1,4,2024-08-16 18:45:00,,Standard
20,584833,8,SavedShot,0.885,0.5,0.7600951194763184,Romain Del Castillo,h,3721,Penalty,2024,LeftFoot,28049,Brest,Marseille,1,5,2024-08-17 15:00:00,,Standard
21,584834,16,SavedShot,0.8969999694824219,0.5770000076293945,0.1371719092130661,Ludovic Ajorque,h,6905,OpenPlay,2024,Head,28049,Brest,Marseille,1,5,2024-08-17 15:00:00,Romain Del Castillo,Cross
22,584835,17,SavedShot,0.8119999694824219,0.49900001525878906,0.04676225036382675,Pereira Lage,h,7743,OpenPlay,2024,RightFoot,28049,Brest,Marseille,1,5,2024-08-17 15:00:00,,None
23,584836,23,SavedShot,0.884000015258789,0.6190000152587891,0.3710681200027466,Jeremy Le Douaron,h,8657,OpenPlay,2024,RightFoot,28049,Brest,Marseille,1,5,2024-08-17 15:00:00,,None
24,584839,33,BlockedShot,0.7340000152587891,0.5679999923706055,0.014008650556206703,Pereira Lage,h,7743,OpenPlay,2024,RightFoot,28049,Brest,Marseille,1,5,2024-08-17 15:00:00,Mahdi Camara,Pass
25,584840,39,MissedShots,0.9359999847412109,0.3870000076293945,0.05973653867840767,Pereira Lage,h,7743,OpenPlay,2024,RightFoot,28049,Brest,Marseille,1,5,2024-08-17 15:00:00,Romain Del Castillo,Chipped
26,584841,50,Goal,0.8109999847412109,0.49599998474121093,0.02671629749238491,Mahdi Camara,h,6452,OpenPlay,2024,RightFoot,28049,Brest,Marseille,1,5,2024-08-17 15:00:00,Romain Del Castillo,Cross
27,584844,59,MissedShots,0.8830000305175781,0.509000015258789,0.04035106673836708,Brendan Chardonnet,h,7736,FromCorner,2024,Head,28049,Brest,Marseille,1,5,2024-08-17 15:00:00,Romain Del Castillo,Cross
28,584847,82,SavedShot,0.830999984741211,0.509000015258789,0.049811940640211105,Romain Del Castillo,h,3721,OpenPlay,2024,LeftFoot,28049,Brest,Marseille,1,5,2024-08-17 15:00:00,,None
29,584848,90,SavedShot,0.6830000305175781,0.47400001525878904,0.009029478766024113,Hianga&#039;a M&#039;Bock,h,8151,OpenPlay,2024,RightFoot,28049,Brest,Marseille,1,5,2024-08-17 15:00:00,Luc Zogbe,Pass
30,584832,2,Goal,0.9169999694824219,0.295,0.04696730896830559,Mason Greenwood,a,7490,OpenPlay,2024,RightFoot,28049,Brest,Marseille,1,5,2024-08-17 15:00:00,Amine Harit,Pass
31,584837,25,Goal,0.8859999847412109,0.5429999923706055,0.43581700325012207,Luis Henrique,a,8980,OpenPlay,2024,RightFoot,28049,Brest,Marseille,1,5,2024-08-17 15:00:00,Amine Harit,Pass
32,584838,30,Goal,0.885,0.5,0.7600951194763184,Mason Greenwood,a,7490,Penalty,2024,RightFoot,28049,Brest,Marseille,1,5,2024-08-17 15:00:00,,Standard
33,584842,47,Goal,0.8959999847412109,0.5420000076293945,0.5222805738449097,Luis Henrique,a,8980,OpenPlay,2024,LeftFoot,28049,Brest,Marseille,1,5,2024-08-17 15:00:00,,None
34,584843,51,MissedShots,0.8580000305175781,0.5659999847412109,0.3459920287132263,Pol Lirola,a,1461,OpenPlay,2024,RightFoot,28049,Brest,Marseille,1,5,2024-08-17 15:00:00,Luis Henrique,Pass
35,584845,61,BlockedShot,0.835,0.5879999923706055,0.09371322393417358,Luis Henrique,a,8980,OpenPlay,2024,LeftFoot,28049,Brest,Marseille,1,5,2024-08-17 15:00:00,Amine Harit,Pass
36,584846,68,Goal,0.885,0.5,0.7600951194763184,Sepe Elye Wahi,a,9182,Penalty,2024,RightFoot,28049,Brest,Marseille,1,5,2024-08-17 15:00:00,,Standard
37,585017,77,MissedShots,0.6869999694824219,0.49700000762939456,0.010453201830387115,Valentin Atangana Edoa,h,11389,OpenPlay,2024,RightFoot,28050,Reims,Lille,0,2,2024-08-17 17:00:00,,None
38,585025,78,BlockedShot,0.85,0.49400001525878906,0.06543754041194916,Marshall Munetsi,h,7908,OpenPlay,2024,RightFoot,28050,Reims,Lille,0,2,2024-08-17 17:00:00,Mamadou Diakhon,Tackle
39,585006,6,MissedShots,0.9330000305175781,0.44299999237060544,0.3710281550884247,Mohamed Bayo,a,9646,OpenPlay,2024,RightFoot,28050,Reims,Lille,0,2,2024-08-17 17:00:00,Tiago Santos,Cross
40,585007,45,MissedShots,0.7719999694824219,0.5779999923706055,0.01880522444844246,Ngal&#039;ayel Mukau,a,12800,SetPiece,2024,LeftFoot,28050,Reims,Lille,0,2,2024-08-17 17:00:00,,None
41,585019,46,MissedShots,0.7869999694824219,0.5820000076293945,0.0976821631193161,Hákon Haraldsson,a,11757,DirectFreekick,2024,RightFoot,28050,Reims,Lille,0,2,2024-08-17 17:00:00,,Standard
42,585008,48,BlockedShot,0.860999984741211,0.51,0.07720349729061127,Mohamed Bayo,a,9646,OpenPlay,2024,RightFoot,28050,Reims,Lille,0,2,2024-08-17 17:00:00,,None
43,585009,48,BlockedShot,0.8090000152587891,0.6409999847412109,0.038341302424669266,Hákon Haraldsson,a,11757,OpenPlay,2024,RightFoot,28050,Reims,Lille,0,2,2024-08-17 17:00:00,Ngal&#039;ayel Mukau,Pass
44,585020,49,BlockedShot,0.845,0.47299999237060547,0.09318288415670395,Osame Sahraoui,a,12801,OpenPlay,2024,RightFoot,28050,Reims,Lille,0,2,2024-08-17 17:00:00,,BallTouch
45,585010,56,BlockedShot,0.9530000305175781,0.705,0.04540570080280304,Hákon Haraldsson,a,11757,OpenPlay,2024,RightFoot,28050,Reims,Lille,0,2,2024-08-17 17:00:00,Osame Sahraoui,Pass
46,585011,57,BlockedShot,0.975999984741211,0.33,0.06262604892253876,Mohamed Bayo,a,9646,OpenPlay,2024,RightFoot,28050,Reims,Lille,0,2,2024-08-17 17:00:00,Osame Sahraoui,Pass
47,585012,57,SavedShot,0.9690000152587891,0.36400001525878906,0.07043302804231644,Tiago Santos,a,11756,OpenPlay,2024,RightFoot,28050,Reims,Lille,0,2,2024-08-17 17:00:00,Mohamed Bayo,Rebound
48,585021,58,MissedShots,0.9180000305175782,0.59,0.13336504995822906,Rémy Cabella,a,3390,OpenPlay,2024,LeftFoot,28050,Reims,Lille,0,2,2024-08-17 17:00:00,Ismaily,Pass
49,585013,61,SavedShot,0.9119999694824219,0.7,0.05327779799699783,Ismaily,a,10811,OpenPlay,2024,LeftFoot,28050,Reims,Lille,0,2,2024-08-17 17:00:00,Alexsandro Ribeiro,Chipped
50,585022,61,BlockedShot,0.8130000305175781,0.4929999923706055,0.07501643896102905,Hákon Haraldsson,a,11757,OpenPlay,2024,RightFoot,28050,Reims,Lille,0,2,2024-08-17 17:00:00,Rémy Cabella,Pass
51,585023,62,SavedShot,0.7369999694824219,0.40900001525878904,0.02323557250201702,Tiago Santos,a,11756,FromCorner,2024,RightFoot,28050,Reims,Lille,0,2,2024-08-17 17:00:00,Hákon Haraldsson,Pass
52,585024,65,MissedShots,0.784000015258789,0.44,0.024021068587899208,Tiago Santos,a,11756,FromCorner,2024,RightFoot,28050,Reims,Lille,0,2,2024-08-17 17:00:00,,None
53,585014,68,SavedShot,0.8269999694824218,0.519000015258789,0.05915563553571701,Osame Sahraoui,a,12801,OpenPlay,2024,RightFoot,28050,Reims,Lille,0,2,2024-08-17 17:00:00,,None
54,585015,73,BlockedShot,0.784000015258789,0.5579999923706055,0.03746601939201355,Osame Sahraoui,a,12801,OpenPlay,2024,RightFoot,28050,Reims,Lille,0,2,2024-08-17 17:00:00,,BallRecovery
55,585016,74,Goal,0.9259999847412109,0.46,0.10995110124349594,Bafode Diakite,a,7268,FromCorner,2024,LeftFoot,28050,Reims,Lille,0,2,2024-08-17 17:00:00,,None
56,585018,79,MissedShots,0.9280000305175782,0.5209999847412109,0.11643838882446289,Bafode Diakite,a,7268,FromCorner,2024,Head,28050,Reims,Lille,0,2,2024-08-17 17:00:00,Rémy Cabella,Cross
57,585026,87,BlockedShot,0.9030000305175782,0.6719999694824219,0.08081596344709396,Osame Sahraoui,a,12801,OpenPlay,2024,LeftFoot,28050,Reims,Lille,0,2,2024-08-17 17:00:00,Jonathan Christian David,BallTouch
58,585027,90,ShotOnPost,0.914000015258789,0.46599998474121096,0.05984383821487427,Jonathan Christian David,a,8636,OpenPlay,2024,Head,28050,Reims,Lille,0,2,2024-08-17 17:00:00,Osame Sahraoui,Chipped
59,585028,92,BlockedShot,0.855999984741211,0.4759999847412109,0.10138741880655289,Ethan Mbappé,a,12066,OpenPlay,2024,LeftFoot,28050,Reims,Lille,0,2,2024-08-17 17:00:00,,Dispossessed
