player,team_x,url_x,pass_metric,id_x,headshot_url,team_y,url_y,carry_metric,id_y
Romano Schmid,WE,/en/players/220ace7e/Romano-Schmid,3.27,220ace7e,https://fbref.com/req/202302030/images/headshots/220ace7e_2022.jpg,WE,/en/players/220ace7e/Romano-Schmid,0.87,220ace7e
Elvis Rexhbeçaj,AU,/en/players/1ae836b1/Elvis-Rexhbecaj,3.15,1ae836b1,https://fbref.com/req/202302030/images/headshots/1ae836b1_2022.jpg,AU,/en/players/1ae836b1/Elvis-Rexhbecaj,0.67,1ae836b1
Patrick Wimmer,WO,/en/players/cb11b429/Patrick-Wimmer,2.94,cb11b429,https://fbref.com/req/202302030/images/headshots/cb11b429_2022.jpg,WO,/en/players/cb11b429/Patrick-Wimmer,1.1,cb11b429
Jonas Wind,WO,/en/players/2077ae86/Jonas-Wind,2.74,2077ae86,https://fbref.com/req/202302030/images/headshots/2077ae86_2022.jpg,WO,/en/players/2077ae86/Jonas-Wind,-0.38,2077ae86
Adam Hložek,HO,/en/players/5521f419/Adam-Hlozek,2.6,5521f419,https://fbref.com/req/202302030/images/headshots/5521f419_2022.jpg,HO,/en/players/5521f419/Adam-Hlozek,1.73,5521f419
Tom Krauß,BO,/en/players/9f77012e/Tom-Krauss,2.59,9f77012e,https://fbref.com/req/202302030/images/headshots/9f77012e_2022.jpg,BO,/en/players/9f77012e/Tom-Krauss,0.38,9f77012e
Alassane Pléa,GL,/en/players/bc6bd723/Alassane-Plea,2.38,bc6bd723,https://fbref.com/req/202302030/images/headshots/bc6bd723_2022.jpg,GL,/en/players/bc6bd723/Alassane-Plea,0.77,bc6bd723
Steven Skrzybski,HO,/en/players/58ce23e5/Steven-Skrzybski,2.18,58ce23e5,https://fbref.com/req/202302030/images/headshots/58ce23e5_2022.jpg,HO,/en/players/58ce23e5/Steven-Skrzybski,0.11,58ce23e5
Marvin Pieringer,HE,/en/players/11407d95/Marvin-Pieringer,2.12,11407d95,https://fbref.com/req/202302030/images/headshots/11407d95_2022.jpg,HE,/en/players/11407d95/Marvin-Pieringer,-0.2,11407d95
Fares Chaïbi,EI,/en/players/357103bd/Fares-Chaibi,1.86,357103bd,https://fbref.com/req/202302030/images/headshots/357103bd_2022.jpg,EI,/en/players/357103bd/Fares-Chaibi,0.32,357103bd
Oscar Højlund,EI,/en/players/3e2bbae6/Oscar-Hojlund,1.84,3e2bbae6,https://fbref.com/req/202302030/images/headshots/3e2bbae6_2022.jpg,EI,/en/players/3e2bbae6/Oscar-Hojlund,0.68,3e2bbae6
Danel Sinani,ST,/en/players/96ddfa79/Danel-Sinani,1.82,96ddfa79,https://fbref.com/req/202302030/images/headshots/96ddfa79_2022.jpg,ST,/en/players/96ddfa79/Danel-Sinani,-0.15,96ddfa79
Deniz Undav,ST,/en/players/dd549382/Deniz-Undav,1.82,dd549382,https://fbref.com/req/202302030/images/headshots/dd549382_2022.jpg,ST,/en/players/dd549382/Deniz-Undav,0.69,dd549382
Can Uzun,EI,/en/players/1d0b134a/Can-Uzun,1.8,1d0b134a,https://fbref.com/req/202302030/images/headshots/1d0b134a_2022.jpg,EI,/en/players/1d0b134a/Can-Uzun,-0.18,1d0b134a
