player,team_x,url_x,pass_metric,id_x,headshot_url,team_y,url_y,carry_metric,id_y
Alex Baena,VI,/en/players/518f2234/Alex-Baena,3.07,518f2234,https://fbref.com/req/202302030/images/headshots/518f2234_2022.jpg,VI,/en/players/518f2234/Alex-Baena,1.01,518f2234
Gerard Moreno,VI,/en/players/81f0781e/Gerard-Moreno,3.01,81f0781e,https://fbref.com/req/202302030/images/headshots/81f0781e_2022.jpg,VI,/en/players/81f0781e/Gerard-Moreno,0.08,81f0781e
Ayoze Pérez,VI,/en/players/819aa8e7/Ayoze-Perez,2.61,819aa8e7,https://fbref.com/req/202302030/images/headshots/819aa8e7_2022.jpg,VI,/en/players/819aa8e7/Ayoze-Perez,2.36,819aa8e7
Iñigo Ruiz de Galarreta,AT,/en/players/91f7631f/Inigo-Ruiz-de-Galarreta,2.6,91f7631f,https://fbref.com/req/202302030/images/headshots/91f7631f_2022.jpg,AT,/en/players/91f7631f/Inigo-Ruiz-de-Galarreta,-0.17,91f7631f
Iago Aspas,CE,/en/players/7dcf86f6/Iago-Aspas,2.59,7dcf86f6,https://fbref.com/req/202302030/images/headshots/7dcf86f6_2022.jpg,CE,/en/players/7dcf86f6/Iago-Aspas,0.52,7dcf86f6
Oihan Sancet,AT,/en/players/bdb624a3/Oihan-Sancet,2.41,bdb624a3,https://fbref.com/req/202302030/images/headshots/bdb624a3_2022.jpg,AT,/en/players/bdb624a3/Oihan-Sancet,1.31,bdb624a3
Pablo Fornals,BE,/en/players/82927de4/Pablo-Fornals,2.32,82927de4,https://fbref.com/req/202302030/images/headshots/82927de4_2022.jpg,BE,/en/players/82927de4/Pablo-Fornals,-0.29,82927de4
Giovani Lo Celso,BE,/en/players/d7553721/Giovani-Lo-Celso,2.13,d7553721,https://fbref.com/req/202302030/images/headshots/d7553721_2022.jpg,BE,/en/players/d7553721/Giovani-Lo-Celso,-0.63,d7553721
Aimar Oroz,OS,/en/players/7c363088/Aimar-Oroz,2.02,7c363088,https://fbref.com/req/202302030/images/headshots/7c363088_2022.jpg,OS,/en/players/7c363088/Aimar-Oroz,0.56,7c363088
Stoichkov,AL,/en/players/4e257184/Stoichkov,2.01,4e257184,https://fbref.com/req/202302030/images/headshots/4e257184_2022.jpg,AL,/en/players/4e257184/Stoichkov,-0.1,4e257184
Dani Olmo,BA,/en/players/ae44e8e2/Dani-Olmo,1.99,ae44e8e2,https://fbref.com/req/202302030/images/headshots/ae44e8e2_2022.jpg,BA,/en/players/ae44e8e2/Dani-Olmo,0.28,ae44e8e2
Raúl Moro,VA,/en/players/919dd4b1/Raul-Moro,1.97,919dd4b1,https://fbref.com/req/202302030/images/headshots/919dd4b1_2022.jpg,VA,/en/players/919dd4b1/Raul-Moro,3.39,919dd4b1
Yaser Asprilla,GI,/en/players/d139daf9/Yaser-Asprilla,1.96,d139daf9,https://fbref.com/req/202302030/images/headshots/d139daf9_2022.jpg,GI,/en/players/d139daf9/Yaser-Asprilla,1.46,d139daf9
Domingos André Ribeiro Almeida,VA,/en/players/e6697917/Domingos-Andre-Ribeiro-Almeida,1.91,e6697917,https://fbref.com/req/202302030/images/headshots/e6697917_2022.jpg,VA,/en/players/e6697917/Domingos-Andre-Ribeiro-Almeida,0.27,e6697917
Iván Sánchez,VA,/en/players/70107d4d/Ivan-Sanchez,1.84,70107d4d,https://fbref.com/req/202302030/images/headshots/70107d4d_2022.jpg,VA,/en/players/70107d4d/Ivan-Sanchez,1.48,70107d4d
Pape Gueye,VI,/en/players/7155e3e1/Pape-Gueye,1.77,7155e3e1,https://fbref.com/req/202302030/images/headshots/7155e3e1_2022.jpg,VI,/en/players/7155e3e1/Pape-Gueye,-0.14,7155e3e1
Isco,BE,/en/players/a0b4bb3e/Isco,1.76,a0b4bb3e,https://fbref.com/req/202302030/images/headshots/a0b4bb3e_2022.jpg,BE,/en/players/a0b4bb3e/Isco,-0.36,a0b4bb3e
Sergi Darder,MA,/en/players/070a3904/Sergi-Darder,1.67,070a3904,https://fbref.com/req/202302030/images/headshots/070a3904_2022.jpg,MA,/en/players/070a3904/Sergi-Darder,-0.03,070a3904
