player,team_x,url_x,pass_metric,id_x,headshot_url,team_y,url_y,carry_metric,id_y
Takumi Minamino,MO,/en/players/f833a830/Takumi-Minamino,3.47,f833a830,https://fbref.com/req/202302030/images/headshots/f833a830_2022.jpg,MO,/en/players/f833a830/Takumi-Minamino,0.5,f833a830
Rayan Cherki,LY,/en/players/b34c63a5/Rayan-Cherki,3.14,b34c63a5,https://fbref.com/req/202302030/images/headshots/b34c63a5_2022.jpg,LY,/en/players/b34c63a5/Rayan-Cherki,0.71,b34c63a5
Hamed Junior Traorè,AU,/en/players/570bb4b9/Hamed-Junior-Traore,2.89,570bb4b9,https://fbref.com/req/202302030/images/headshots/570bb4b9_2022.jpg,AU,/en/players/570bb4b9/Hamed-Junior-Traore,1.16,570bb4b9
Aleksandr Golovin,MO,/en/players/3708e9fa/Aleksandr-Golovin,2.88,3708e9fa,https://fbref.com/req/202302030/images/headshots/3708e9fa_2022.jpg,MO,/en/players/3708e9fa/Aleksandr-Golovin,0.4,3708e9fa
Yann Gboho,TO,/en/players/6be41a31/Yann-Gboho,2.68,6be41a31,https://fbref.com/req/202302030/images/headshots/6be41a31_2022.jpg,TO,/en/players/6be41a31/Yann-Gboho,2.73,6be41a31
Sebastian Nanasi,ST,/en/players/ce747d2a/Sebastian-Nanasi,2.62,ce747d2a,https://fbref.com/req/202302030/images/headshots/ce747d2a_2022.jpg,ST,/en/players/ce747d2a/Sebastian-Nanasi,1.15,ce747d2a
Alexandre Lacazette,LY,/en/players/9dbb75ca/Alexandre-Lacazette,2.37,9dbb75ca,https://fbref.com/req/202302030/images/headshots/9dbb75ca_2022.jpg,LY,/en/players/9dbb75ca/Alexandre-Lacazette,-0.19,9dbb75ca
Evann Guessand,NI,/en/players/b73f17f8/Evann-Guessand,2.24,b73f17f8,https://fbref.com/req/202302030/images/headshots/b73f17f8_2022.jpg,NI,/en/players/b73f17f8/Evann-Guessand,2.39,b73f17f8
Oussama Targhalline,LE,/en/players/abd56820/Oussama-Targhalline,2.13,abd56820,https://fbref.com/req/202302030/images/headshots/abd56820_2022.jpg,LE,/en/players/abd56820/Oussama-Targhalline,0.38,abd56820
Maghnes Akliouche,MO,/en/players/b625b241/Maghnes-Akliouche,2.13,b625b241,https://fbref.com/req/202302030/images/headshots/b625b241_2022.jpg,MO,/en/players/b625b241/Maghnes-Akliouche,1.3,b625b241
Albert Grønbaek,RE,/en/players/0da5076f/Albert-Gronbaek,2.0,0da5076f,https://fbref.com/req/202302030/images/headshots/0da5076f_2022.jpg,RE,/en/players/0da5076f/Albert-Gronbaek,1.05,0da5076f
Maxence Caqueret,LY,/en/players/f81ef10d/Maxence-Caqueret,1.91,f81ef10d,https://fbref.com/req/202302030/images/headshots/f81ef10d_2022.jpg,LY,/en/players/f81ef10d/Maxence-Caqueret,0.14,f81ef10d
