player,team_x,url_x,pass_metric,id_x,headshot_url,team_y,url_y,carry_metric,id_y
Tomáš Suslov,HE,/en/players/83fe71b8/Tomas-Suslov,3.3,83fe71b8,https://fbref.com/req/202302030/images/headshots/83fe71b8_2022.jpg,HE,/en/players/83fe71b8/Tomas-Suslov,0.33,83fe71b8
Gaetano Oristanio,VE,/en/players/5cfc74fc/Gaetano-Oristanio,2.96,5cfc74fc,https://fbref.com/req/202302030/images/headshots/5cfc74fc_2022.jpg,VE,/en/players/5cfc74fc/Gaetano-Oristanio,1.9,5cfc74fc
Drissa Camara,PA,/en/players/543d9d2b/Drissa-Camara,2.38,543d9d2b,https://fbref.com/req/202302030/images/headshots/543d9d2b_2022.jpg,PA,/en/players/543d9d2b/Drissa-Camara,1.14,543d9d2b
Ante Rebić,LE,/en/players/536cebe5/Ante-Rebic,2.23,536cebe5,https://fbref.com/req/202302030/images/headshots/536cebe5_2022.jpg,LE,/en/players/536cebe5/Ante-Rebic,0.63,536cebe5
Morten Thorsby,GE,/en/players/d1b49282/Morten-Thorsby,2.17,d1b49282,https://fbref.com/req/202302030/images/headshots/d1b49282_2022.jpg,GE,/en/players/d1b49282/Morten-Thorsby,0.78,d1b49282
Tete Morente,LE,/en/players/004d185e/Tete-Morente,2.13,004d185e,https://fbref.com/req/202302030/images/headshots/004d185e_2022.jpg,LE,/en/players/004d185e/Tete-Morente,0.68,004d185e
Valentín Castellanos,LA,/en/players/da76bab4/Valentin-Castellanos,2.12,da76bab4,https://fbref.com/req/202302030/images/headshots/da76bab4_2022.jpg,LA,/en/players/da76bab4/Valentin-Castellanos,0.41,da76bab4
Sebastiano Esposito,EM,/en/players/7ff93107/Sebastiano-Esposito,2.07,7ff93107,https://fbref.com/req/202302030/images/headshots/7ff93107_2022.jpg,EM,/en/players/7ff93107/Sebastiano-Esposito,0.13,7ff93107
Nicolas Viola,CA,/en/players/45392b06/Nicolas-Viola,2.07,45392b06,https://fbref.com/req/202302030/images/headshots/45392b06_2022.jpg,CA,/en/players/45392b06/Nicolas-Viola,0.35,45392b06
Tijjani Reijnders,MI,/en/players/afb61630/Tijjani-Reijnders,2.06,afb61630,https://fbref.com/req/202302030/images/headshots/afb61630_2022.jpg,MI,/en/players/afb61630/Tijjani-Reijnders,1.13,afb61630
Charles De Ketelaere,AT,/en/players/2ef7c612/Charles-De-Ketelaere,2.03,2ef7c612,https://fbref.com/req/202302030/images/headshots/2ef7c612_2022.jpg,AT,/en/players/2ef7c612/Charles-De-Ketelaere,1.69,2ef7c612
Youssef Maleh,EM,/en/players/4c8845f7/Youssef-Maleh,2.01,4c8845f7,https://fbref.com/req/202302030/images/headshots/4c8845f7_2022.jpg,EM,/en/players/4c8845f7/Youssef-Maleh,-0.55,4c8845f7
Riccardo Orsolini,BO,/en/players/e14ec482/Riccardo-Orsolini,1.95,e14ec482,https://fbref.com/req/202302030/images/headshots/e14ec482_2022.jpg,BO,/en/players/e14ec482/Riccardo-Orsolini,1.33,e14ec482
Nicolás Paz,CO,/en/players/01bb93d5/Nicolas-Paz,1.93,01bb93d5,https://fbref.com/req/202302030/images/headshots/01bb93d5_2022.jpg,CO,/en/players/01bb93d5/Nicolas-Paz,0.58,01bb93d5
Hernani,PA,/en/players/6f5ead86/Hernani,1.91,6f5ead86,https://fbref.com/req/202302030/images/headshots/6f5ead86_2022.jpg,PA,/en/players/6f5ead86/Hernani,0.39,6f5ead86
Florian Thauvin,UD,/en/players/2b9fdeea/Florian-Thauvin,1.9,2b9fdeea,https://fbref.com/req/202302030/images/headshots/2b9fdeea_2022.jpg,UD,/en/players/2b9fdeea/Florian-Thauvin,1.97,2b9fdeea
