,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
0,584922,17,SavedShot,0.84,0.5770000076293945,0.28586047887802124,Vitinha,h,11380,OpenPlay,2024,RightFoot,27362,Genoa,Inter,2,2,2024-08-17 16:30:00,Milan Badelj,Chipped
1,584923,19,SavedShot,0.8619999694824219,0.47099998474121096,0.030550599098205566,Mattia Bani,h,6212,SetPiece,2024,Head,27362,Genoa,Inter,2,2,2024-08-17 16:30:00,Aarón Martín,Cross
2,584924,19,Goal,0.9640000152587891,0.49900001525878906,0.7673426270484924,Alessandro Vogliacco,h,12124,SetPiece,2024,RightFoot,27362,Genoa,Inter,2,2,2024-08-17 16:30:00,,Rebound
3,584931,49,MissedShots,0.8819999694824219,0.5509999847412109,0.09784119576215744,Milan Badelj,h,1430,OpenPlay,2024,LeftFoot,27362,Genoa,Inter,2,2,2024-08-17 16:30:00,Junior Messias,BallTouch
4,584933,61,SavedShot,0.7240000152587891,0.3370000076293945,0.013057483360171318,Morten Frendrup,h,10365,OpenPlay,2024,RightFoot,27362,Genoa,Inter,2,2,2024-08-17 16:30:00,,BallRecovery
5,584935,63,MissedShots,0.7119999694824218,0.43099998474121093,0.008696419186890125,Ruslan Malinovskiy,h,7947,SetPiece,2024,LeftFoot,27362,Genoa,Inter,2,2,2024-08-17 16:30:00,,Aerial
6,584940,78,MissedShots,0.8969999694824219,0.21299999237060546,0.011584890075027943,Stefano Sabelli,h,1898,SetPiece,2024,RightFoot,27362,Genoa,Inter,2,2,2024-08-17 16:30:00,,Aerial
7,584941,79,SavedShot,0.7609999847412109,0.4929999923706055,0.029177317395806313,Junior Messias,h,8838,OpenPlay,2024,LeftFoot,27362,Genoa,Inter,2,2,2024-08-17 16:30:00,Milan Badelj,BallRecovery
8,584942,79,MissedShots,0.8809999847412109,0.664000015258789,0.05504349619150162,Vitinha,h,11380,OpenPlay,2024,RightFoot,27362,Genoa,Inter,2,2,2024-08-17 16:30:00,,None
9,584945,90,MissedShots,0.899000015258789,0.5,0.07304411381483078,Morten Thorsby,h,7939,OpenPlay,2024,Head,27362,Genoa,Inter,2,2,2024-08-17 16:30:00,Stefano Sabelli,Cross
10,584946,94,SavedShot,0.885,0.5,0.7612988352775574,Junior Messias,h,8838,Penalty,2024,LeftFoot,27362,Genoa,Inter,2,2,2024-08-17 16:30:00,,Standard
11,584947,94,Goal,0.9430000305175781,0.4779999923706055,0.6174370646476746,Junior Messias,h,8838,SetPiece,2024,RightFoot,27362,Genoa,Inter,2,2,2024-08-17 16:30:00,,Rebound
12,584948,97,BlockedShot,0.8680000305175781,0.8140000152587891,0.055422283709049225,Vitinha,h,11380,DirectFreekick,2024,RightFoot,27362,Genoa,Inter,2,2,2024-08-17 16:30:00,,Standard
13,584919,6,SavedShot,0.855,0.6029999923706054,0.1051202118396759,Marcus Thuram,a,5992,OpenPlay,2024,RightFoot,27362,Genoa,Inter,2,2,2024-08-17 16:30:00,Nicolò Barella,Pass
14,584920,11,MissedShots,0.8980000305175782,0.5479999923706055,0.02022731490433216,Yann Bisseck,a,6414,FromCorner,2024,Head,27362,Genoa,Inter,2,2,2024-08-17 16:30:00,Marcus Thuram,Aerial
15,584921,14,MissedShots,0.754000015258789,0.6869999694824219,0.01977250911295414,Hakan Calhanoglu,a,189,OpenPlay,2024,RightFoot,27362,Genoa,Inter,2,2,2024-08-17 16:30:00,Alessandro Bastoni,Pass
16,584925,29,Goal,0.919000015258789,0.47,0.04710732027888298,Marcus Thuram,a,5992,OpenPlay,2024,Head,27362,Genoa,Inter,2,2,2024-08-17 16:30:00,Nicolò Barella,Aerial
17,584926,30,SavedShot,0.9059999847412109,0.28899999618530275,0.11705854535102844,Marcus Thuram,a,5992,OpenPlay,2024,RightFoot,27362,Genoa,Inter,2,2,2024-08-17 16:30:00,Nicolò Barella,Throughball
18,584927,39,BlockedShot,0.9119999694824219,0.38299999237060545,0.08880741149187088,Yann Bisseck,a,6414,OpenPlay,2024,RightFoot,27362,Genoa,Inter,2,2,2024-08-17 16:30:00,,Challenge
19,584928,39,SavedShot,0.9290000152587891,0.48900001525878906,0.5546624660491943,Lautaro Martínez,a,7006,OpenPlay,2024,RightFoot,27362,Genoa,Inter,2,2,2024-08-17 16:30:00,,Rebound
20,584929,39,BlockedShot,0.9209999847412109,0.6659999847412109,0.2828048765659332,Federico Dimarco,a,1324,OpenPlay,2024,LeftFoot,27362,Genoa,Inter,2,2,2024-08-17 16:30:00,,Rebound
21,584930,39,MissedShots,0.904000015258789,0.5270000076293946,0.06737048178911209,Yann Bisseck,a,6414,FromCorner,2024,Head,27362,Genoa,Inter,2,2,2024-08-17 16:30:00,Federico Dimarco,Cross
22,584932,58,SavedShot,0.9209999847412109,0.375,0.07981444895267487,Marcus Thuram,a,5992,OpenPlay,2024,RightFoot,27362,Genoa,Inter,2,2,2024-08-17 16:30:00,,None
23,584934,62,MissedShots,0.815,0.5740000152587891,0.05483834818005562,Henrikh Mkhitaryan,a,317,OpenPlay,2024,RightFoot,27362,Genoa,Inter,2,2,2024-08-17 16:30:00,Alessandro Bastoni,Pass
24,584936,67,MissedShots,0.9490000152587891,0.6719999694824219,0.03792696073651314,Federico Dimarco,a,1324,OpenPlay,2024,LeftFoot,27362,Genoa,Inter,2,2,2024-08-17 16:30:00,Denzel Dumfries,Cross
25,584937,71,BlockedShot,0.7969999694824219,0.3320000076293945,0.024964714422822,Nicolò Barella,a,1409,OpenPlay,2024,RightFoot,27362,Genoa,Inter,2,2,2024-08-17 16:30:00,,None
26,584938,73,BlockedShot,0.8069999694824219,0.34,0.08806505799293518,Federico Dimarco,a,1324,DirectFreekick,2024,LeftFoot,27362,Genoa,Inter,2,2,2024-08-17 16:30:00,,Standard
27,584939,74,MissedShots,0.9130000305175782,0.5329999923706055,0.0313166081905365,Davide Frattesi,a,4981,FromCorner,2024,Head,27362,Genoa,Inter,2,2,2024-08-17 16:30:00,Federico Dimarco,Aerial
28,584943,81,Goal,0.914000015258789,0.445,0.45340150594711304,Marcus Thuram,a,5992,OpenPlay,2024,RightFoot,27362,Genoa,Inter,2,2,2024-08-17 16:30:00,Davide Frattesi,Throughball
29,584944,86,SavedShot,0.97,0.37599998474121094,0.15060220658779144,Kristjan Asllani,a,9854,OpenPlay,2024,RightFoot,27362,Genoa,Inter,2,2,2024-08-17 16:30:00,Marcus Thuram,Throughball
30,584949,3,SavedShot,0.9009999847412109,0.620999984741211,0.07570155709981918,Mihai Valentin Mihaila,h,9226,OpenPlay,2024,RightFoot,27363,Parma Calcio 1913,Fiorentina,1,1,2024-08-17 16:30:00,,None
31,584950,3,SavedShot,0.750999984741211,0.5640000152587891,0.020893359556794167,Simon Sohm,h,9029,OpenPlay,2024,RightFoot,27363,Parma Calcio 1913,Fiorentina,1,1,2024-08-17 16:30:00,Dennis Man,Pass
32,584951,4,MissedShots,0.925,0.5379999923706055,0.4939163327217102,Mihai Valentin Mihaila,h,9226,OpenPlay,2024,LeftFoot,27363,Parma Calcio 1913,Fiorentina,1,1,2024-08-17 16:30:00,,Rebound
33,584957,21,Goal,0.8569999694824219,0.37900001525878907,0.07353270053863525,Dennis Man,h,9303,OpenPlay,2024,LeftFoot,27363,Parma Calcio 1913,Fiorentina,1,1,2024-08-17 16:30:00,Ange-Yoan Bonny,Pass
34,584959,27,BlockedShot,0.8769999694824219,0.5690000152587891,0.12494655698537827,Mihai Valentin Mihaila,h,9226,OpenPlay,2024,RightFoot,27363,Parma Calcio 1913,Fiorentina,1,1,2024-08-17 16:30:00,Ange-Yoan Bonny,LayOff
35,584960,27,SavedShot,0.8730000305175781,0.47,0.10697197914123535,Simon Sohm,h,9029,OpenPlay,2024,RightFoot,27363,Parma Calcio 1913,Fiorentina,1,1,2024-08-17 16:30:00,,Rebound
36,584961,27,SavedShot,0.914000015258789,0.35200000762939454,0.3547290861606598,Simon Sohm,h,9029,OpenPlay,2024,RightFoot,27363,Parma Calcio 1913,Fiorentina,1,1,2024-08-17 16:30:00,Dennis Man,Throughball
37,584962,28,BlockedShot,0.8809999847412109,0.28600000381469726,0.02669481188058853,Dennis Man,h,9303,FromCorner,2024,LeftFoot,27363,Parma Calcio 1913,Fiorentina,1,1,2024-08-17 16:30:00,Ange-Yoan Bonny,Pass
38,584963,29,MissedShots,0.865,0.6980000305175781,0.06181412935256958,Mihai Valentin Mihaila,h,9226,OpenPlay,2024,RightFoot,27363,Parma Calcio 1913,Fiorentina,1,1,2024-08-17 16:30:00,Nahuel Estévez,BallRecovery
39,584964,35,BlockedShot,0.870999984741211,0.7230000305175781,0.030776740983128548,Nahuel Estévez,h,9065,SetPiece,2024,RightFoot,27363,Parma Calcio 1913,Fiorentina,1,1,2024-08-17 16:30:00,Adrián Bernabé,Pass
40,584967,46,SavedShot,0.84,0.37099998474121093,0.09037940949201584,Ange-Yoan Bonny,h,12784,OpenPlay,2024,LeftFoot,27363,Parma Calcio 1913,Fiorentina,1,1,2024-08-17 16:30:00,Woyo Coulibaly,TakeOn
41,584968,53,MissedShots,0.6819999694824219,0.3920000076293945,0.01342834997922182,Adrián Bernabé,h,8867,OpenPlay,2024,LeftFoot,27363,Parma Calcio 1913,Fiorentina,1,1,2024-08-17 16:30:00,Ange-Yoan Bonny,Pass
42,584976,84,BlockedShot,0.8640000152587891,0.7280000305175781,0.03463658317923546,Drissa Camara,h,7203,OpenPlay,2024,RightFoot,27363,Parma Calcio 1913,Fiorentina,1,1,2024-08-17 16:30:00,Matteo Cancellieri,Pass
43,584977,87,MissedShots,0.8680000305175781,0.5640000152587891,0.3532252907752991,Wylan Cyprien,h,4768,OpenPlay,2024,RightFoot,27363,Parma Calcio 1913,Fiorentina,1,1,2024-08-17 16:30:00,Pontus Almqvist,Pass
44,584952,5,SavedShot,0.7340000152587891,0.3139999961853027,0.012231136672198772,Rolando Mandragora,a,3821,OpenPlay,2024,LeftFoot,27363,Parma Calcio 1913,Fiorentina,1,1,2024-08-17 16:30:00,Dodô,Pass
45,584953,9,BlockedShot,0.8969999694824219,0.3320000076293945,0.008890565484762192,Dodô,a,10935,OpenPlay,2024,Head,27363,Parma Calcio 1913,Fiorentina,1,1,2024-08-17 16:30:00,Cristiano Biraghi,Cross
46,584954,9,MissedShots,0.7519999694824219,0.3729999923706055,0.018672769889235497,Lucas Martínez Quarta,a,9019,OpenPlay,2024,RightFoot,27363,Parma Calcio 1913,Fiorentina,1,1,2024-08-17 16:30:00,Christian Kouamé,BallTouch
47,584955,17,SavedShot,0.87,0.445,0.34906163811683655,Andrea Colpani,a,6718,OpenPlay,2024,LeftFoot,27363,Parma Calcio 1913,Fiorentina,1,1,2024-08-17 16:30:00,,None
48,584956,19,SavedShot,0.8090000152587891,0.6959999847412109,0.02639276534318924,Moise Kean,a,1304,OpenPlay,2024,RightFoot,27363,Parma Calcio 1913,Fiorentina,1,1,2024-08-17 16:30:00,,BallRecovery
49,584958,24,SavedShot,0.830999984741211,0.7230000305175781,0.025421597063541412,Cristiano Biraghi,a,1164,OpenPlay,2024,LeftFoot,27363,Parma Calcio 1913,Fiorentina,1,1,2024-08-17 16:30:00,Sofyan Amrabat,Pass
50,584965,41,BlockedShot,0.8519999694824218,0.5,0.08233236521482468,Moise Kean,a,1304,OpenPlay,2024,LeftFoot,27363,Parma Calcio 1913,Fiorentina,1,1,2024-08-17 16:30:00,Christian Kouamé,Pass
51,584966,42,SavedShot,0.9119999694824219,0.3390000152587891,0.02389853447675705,Andrea Colpani,a,6718,FromCorner,2024,LeftFoot,27363,Parma Calcio 1913,Fiorentina,1,1,2024-08-17 16:30:00,,Aerial
52,584969,55,BlockedShot,0.8040000152587891,0.3220000076293945,0.02606981061398983,Andrea Colpani,a,6718,OpenPlay,2024,LeftFoot,27363,Parma Calcio 1913,Fiorentina,1,1,2024-08-17 16:30:00,Dodô,Pass
53,584970,62,BlockedShot,0.759000015258789,0.565,0.02486361935734749,Rolando Mandragora,a,3821,OpenPlay,2024,LeftFoot,27363,Parma Calcio 1913,Fiorentina,1,1,2024-08-17 16:30:00,Sofyan Amrabat,Pass
54,584971,65,BlockedShot,0.720999984741211,0.3559999847412109,0.01593354344367981,Jonathan Ikone,a,5661,OpenPlay,2024,LeftFoot,27363,Parma Calcio 1913,Fiorentina,1,1,2024-08-17 16:30:00,Marin Pongracic,Pass
55,584972,67,SavedShot,0.7769999694824219,0.6480000305175782,0.022586878389120102,Rolando Mandragora,a,3821,OpenPlay,2024,LeftFoot,27363,Parma Calcio 1913,Fiorentina,1,1,2024-08-17 16:30:00,,None
56,584973,70,MissedShots,0.7530000305175781,0.28,0.013318508863449097,Dodô,a,10935,FromCorner,2024,RightFoot,27363,Parma Calcio 1913,Fiorentina,1,1,2024-08-17 16:30:00,,None
57,584974,74,Goal,0.9169999694824219,0.19700000762939454,0.06949932873249054,Cristiano Biraghi,a,1164,DirectFreekick,2024,LeftFoot,27363,Parma Calcio 1913,Fiorentina,1,1,2024-08-17 16:30:00,,Standard
58,584975,81,MissedShots,0.9259999847412109,0.665,0.09395667910575867,Michael Kayode,a,11281,OpenPlay,2024,LeftFoot,27363,Parma Calcio 1913,Fiorentina,1,1,2024-08-17 16:30:00,,TakeOn
59,585031,10,BlockedShot,0.8419999694824218,0.28,0.06871069222688675,Sebastiano Esposito,h,7969,OpenPlay,2024,RightFoot,27364,Empoli,Monza,0,0,2024-08-17 18:45:00,Jacopo Fazzini,BallTouch
60,585032,11,BlockedShot,0.8859999847412109,0.47299999237060547,0.09389591217041016,Sebastiano Esposito,h,7969,OpenPlay,2024,RightFoot,27364,Empoli,Monza,0,0,2024-08-17 18:45:00,,None
61,585033,20,BlockedShot,0.7819999694824219,0.44599998474121094,0.036205776035785675,Youssef Maleh,h,9893,OpenPlay,2024,RightFoot,27364,Empoli,Monza,0,0,2024-08-17 18:45:00,,BallRecovery
62,585034,39,SavedShot,0.865,0.37099998474121093,0.05959818884730339,Emmanuel Gyasi,h,8913,OpenPlay,2024,LeftFoot,27364,Empoli,Monza,0,0,2024-08-17 18:45:00,,None
63,585035,45,MissedShots,0.8859999847412109,0.45099998474121095,0.05850834399461746,Sebastiano Esposito,h,7969,SetPiece,2024,Head,27364,Empoli,Monza,0,0,2024-08-17 18:45:00,Liam Henderson,Cross
64,585038,48,BlockedShot,0.72,0.6759999847412109,0.01351121161133051,Liam Henderson,h,7925,SetPiece,2024,RightFoot,27364,Empoli,Monza,0,0,2024-08-17 18:45:00,Giuseppe Pezzella,Pass
65,585039,53,BlockedShot,0.7090000152587891,0.46900001525878904,0.041340041905641556,Sebastiano Esposito,h,7969,DirectFreekick,2024,RightFoot,27364,Empoli,Monza,0,0,2024-08-17 18:45:00,,Standard
66,585040,54,MissedShots,0.8730000305175781,0.5720000076293945,0.012403817847371101,Ardian Ismajli,h,9090,FromCorner,2024,Head,27364,Empoli,Monza,0,0,2024-08-17 18:45:00,Liam Henderson,Aerial
67,585041,55,BlockedShot,0.9109999847412109,0.505,0.042471665889024734,Mattia Viti,h,9855,FromCorner,2024,OtherBodyPart,27364,Empoli,Monza,0,0,2024-08-17 18:45:00,Giuseppe Pezzella,Aerial
68,585044,75,MissedShots,0.8819999694824219,0.3579999923706055,0.06264536082744598,Lorenzo Colombo,h,8478,OpenPlay,2024,LeftFoot,27364,Empoli,Monza,0,0,2024-08-17 18:45:00,Sebastian Walukiewicz,Chipped
69,585045,85,SavedShot,0.9480000305175781,0.3270000076293945,0.08928151428699493,Ola Solbakken,h,11289,OpenPlay,2024,LeftFoot,27364,Empoli,Monza,0,0,2024-08-17 18:45:00,Liam Henderson,TakeOn
