,team,xg_period1,xg_period2,xg_diff,xg_c_period1,xg_c_period2,xg_c_diff
0,Rennes,18.53,31.12,12.59,19.36,26.54,7.18
1,Marseille,25.5,37.13,11.63,25.62,23.46,-2.16
2,Borussia Dortmund,26.86,36.36,9.5,21.99,23.23,1.24
3,Saint-Etienne,15.01,23.42,8.41,36.27,44.16,7.89
4,Le Havre,16.93,24.58,7.65,28.15,37.48,9.33
5,Monaco,33.36,40.72,7.36,15.37,19.15,3.78
6,Nice,27.59,34.64,7.05,21.7,19.79,-1.91
7,Bayern Munich,41.0,47.66,6.66,10.07,14.41,4.34
8,Valencia,17.66,23.59,5.93,27.35,22.1,-5.25
9,Brest,22.47,27.44,4.97,33.49,26.05,-7.44
10,Lens,25.54,30.51,4.97,17.02,29.72,12.7
11,Bochum,18.64,22.66,4.02,36.74,32.98,-3.76
12,Nantes,18.98,22.86,3.88,22.84,35.88,13.04
13,Strasbourg,23.75,27.43,3.68,31.19,25.56,-5.63
14,Angers,17.03,20.69,3.66,28.13,33.87,5.74
15,Leganes,14.44,17.76,3.32,31.89,27.52,-4.37
16,Getafe,17.72,20.88,3.16,22.88,21.19,-1.69
17,Eintracht Frankfurt,32.5,35.63,3.13,26.03,24.29,-1.74
18,Union Berlin,18.82,21.55,2.73,22.21,25.87,3.66
19,Toulouse,23.54,26.0,2.46,13.86,22.42,8.56
20,St. Pauli,18.21,20.41,2.2,23.99,23.69,-0.3
21,Wolfsburg,24.17,26.19,2.02,30.15,25.05,-5.1
22,Werder Bremen,23.94,25.91,1.97,24.75,26.55,1.8
23,Empoli,16.12,18.03,1.91,25.62,24.56,-1.06
24,Everton,19.65,21.43,1.78,31.15,19.38,-11.77
25,RasenBallsport Leipzig,23.35,24.8,1.45,28.46,28.74,0.28
26,Holstein Kiel,18.74,20.12,1.38,31.99,28.59,-3.4
27,Wolves,20.39,21.44,1.05,33.29,22.64,-10.65
28,Lille,27.73,28.56,0.83,19.7,23.37,3.67
29,Auxerre,20.29,20.86,0.57,28.26,29.93,1.67
30,Mainz 05,24.76,24.93,0.17,22.54,25.98,3.44
31,Real Valladolid,14.91,15.03,0.12,33.33,35.76,2.43
32,AC Milan,31.91,31.96,0.05,20.22,24.57,4.35
33,Como,22.37,22.25,-0.12,22.79,19.95,-2.84
34,Lyon,30.51,30.34,-0.17,20.71,24.99,4.28
35,Real Madrid,37.65,37.48,-0.17,18.76,20.13,1.37
36,Osasuna,21.01,20.67,-0.34,27.26,25.63,-1.63
37,Bologna,27.85,27.45,-0.4,19.46,17.38,-2.08
38,Rayo Vallecano,22.4,21.99,-0.41,25.09,26.97,1.88
39,Montpellier,19.0,18.41,-0.59,34.44,34.95,0.51
40,Genoa,18.79,18.19,-0.6,31.86,16.64,-15.22
41,Athletic Club,28.46,27.5,-0.96,20.42,16.35,-4.07
42,Roma,29.26,28.25,-1.01,28.27,14.42,-13.85
43,Udinese,20.94,19.42,-1.52,28.51,23.12,-5.39
44,Newcastle United,33.47,31.88,-1.59,28.27,22.74,-5.53
45,FC Heidenheim,20.66,18.9,-1.76,30.13,29.82,-0.31
46,Sevilla,19.68,17.79,-1.89,26.94,19.09,-7.85
47,Brighton,30.28,28.32,-1.96,31.07,21.65,-9.42
48,Las Palmas,18.6,16.42,-2.18,35.56,33.31,-2.25
49,Hoffenheim,22.98,20.57,-2.41,28.84,30.96,2.12
50,Crystal Palace,30.95,28.18,-2.77,32.64,23.86,-8.78
51,Espanyol,17.97,14.75,-3.22,32.53,20.17,-12.36
52,Augsburg,18.42,15.1,-3.32,22.74,22.24,-0.5
53,Torino,18.29,14.96,-3.33,27.29,23.28,-4.01
54,Brentford,29.41,26.04,-3.37,32.78,21.29,-11.49
55,Paris Saint Germain,50.12,46.74,-3.38,18.52,15.1,-3.42
56,Celta Vigo,27.42,23.75,-3.67,23.31,17.25,-6.06
57,Alaves,21.99,18.18,-3.81,28.39,18.08,-10.31
58,Lecce,19.07,15.21,-3.86,33.86,28.82,-5.04
59,VfB Stuttgart,32.99,28.77,-4.22,27.01,24.67,-2.34
60,Napoli,28.43,24.13,-4.3,16.04,14.83,-1.21
61,Bayer Leverkusen,32.59,28.26,-4.33,18.95,18.22,-0.73
62,Freiburg,28.45,23.68,-4.77,20.54,23.77,3.23
63,Borussia M.Gladbach,27.62,22.81,-4.81,27.57,35.24,7.67
64,Atletico Madrid,33.24,28.29,-4.95,16.61,19.23,2.62
65,Monza,17.13,11.69,-5.44,26.79,31.16,4.37
66,Venezia,21.4,15.93,-5.47,32.93,25.79,-7.14
67,Real Sociedad,23.07,17.39,-5.68,20.16,21.88,1.72
68,Verona,20.52,14.38,-6.14,36.8,19.08,-17.72
69,Reims,23.23,16.64,-6.59,24.47,35.68,11.21
70,Juventus,29.67,22.75,-6.92,13.7,19.39,5.69
71,Real Betis,32.13,25.14,-6.99,24.86,17.36,-7.5
72,Lazio,33.36,26.13,-7.23,21.74,19.18,-2.56
73,Fulham,30.1,22.55,-7.55,24.25,18.01,-6.24
74,Ipswich,22.2,14.52,-7.68,45.76,35.86,-9.9
75,Aston Villa,35.25,27.32,-7.93,29.31,21.84,-7.47
76,Fiorentina,28.28,20.14,-8.14,20.52,20.22,-0.3
77,Parma Calcio 1913,25.3,17.02,-8.28,41.82,21.1,-20.72
78,Inter,39.1,30.73,-8.37,17.55,20.03,2.48
79,Manchester City,38.38,29.59,-8.79,31.25,17.18,-14.07
80,Manchester United,29.98,20.95,-9.03,31.58,22.54,-9.04
81,Mallorca,24.84,15.76,-9.08,23.57,19.22,-4.35
82,Nottingham Forest,28.23,18.94,-9.29,23.27,26.04,2.77
83,Liverpool,47.18,37.69,-9.49,18.34,14.68,-3.66
84,Girona,25.69,15.53,-10.16,20.09,27.7,7.61
85,Leicester,22.46,12.11,-10.35,43.74,37.3,-6.44
86,Cagliari,27.82,16.61,-11.21,34.57,21.99,-12.58
87,Southampton,24.96,12.56,-12.4,49.42,42.76,-6.66
88,West Ham,29.82,17.04,-12.78,40.15,21.98,-18.17
89,Barcelona,50.86,37.63,-13.23,24.4,11.24,-13.16
90,Arsenal,40.62,27.13,-13.49,18.71,14.61,-4.1
91,Villarreal,39.24,25.47,-13.77,25.59,20.82,-4.77
92,Atalanta,43.77,28.72,-15.05,19.05,18.46,-0.59
93,Bournemouth,40.82,25.12,-15.7,27.76,20.66,-7.1
94,Chelsea,41.9,25.56,-16.34,30.4,19.04,-11.36
95,Tottenham,40.35,21.73,-18.62,33.27,26.06,-7.21
