,playerName,teamName,Goal,MissedShots,SavedShot,ShotOnPost,Total Shots
0,Achraf Hakimi,PSG,1,8,16,0,25
1,Ademola Lookman,Atalanta,5,7,16,1,29
2,Bradley Barcola,PSG,3,11,12,0,26
3,Erling Haaland,Man City,8,8,22,1,39
4,Florian Wirtz,Bayer Leverkusen,6,8,12,0,26
5,Harry Kane,Bayern Munich,10,11,19,1,41
6,Jamal Musiala,Bayern Munich,3,6,22,3,34
7,Kylian Mbappé,Real Madrid,8,10,29,0,47
8,Lamine Yamal,Barcelona,3,8,22,0,33
9,Michael Olise,Bayern Munich,5,11,19,0,35
10,Mohamed Salah,Liverpool,4,11,13,3,31
11,Ousmane Dembélé,PSG,8,13,29,2,52
12,Phil Foden,Man City,3,9,15,0,27
13,Raphinha,Barcelona,11,15,12,1,39
14,Serhou Guirassy,Borussia Dortmund,10,10,12,0,32
15,Vinícius Júnior,Real Madrid,7,10,15,1,33
