,playerName,total_xT,total_xA,total_assists,player,total_xg,total_goals
0,Joshua Kimmich,9.00830639,7.82,6.0,Joshua Kimmich,2.1855991594493385,3.0
1,Michael Olise,7.66107987,10.700000000000001,12.0,Michael Olise,10.028207747265697,12.0
2,Angelo Stiller,7.28204093,8.459999999999999,8.0,Angelo Stiller,2.0366966007277365,1.0
3,Romano Schmid,6.96036595,5.66,4.0,Romano Schmid,4.8578397035598755,5.0
4,Nadiem Amiri,6.94293351,5.88,3.0,Nadiem Amiri,5.710457424633205,7.0
5,Maximilian Mittelstadt,6.892172019999999,5.66,6.0,,,
6,Anthony Caci,6.48637328,7.34,7.0,Anthony Caci,3.6595478588715187,1.0
7,Maximilian Wittek,6.30940432,3.2775,0.0,Maximilian Wittek,1.7229898655787101,0.0
8,Pascal Gross,5.76071763,7.51,8.0,,,
9,Rasmus Kristensen,5.7204023,2.98,2.0,Rasmus Kristensen,3.0105030350387096,5.0
