,playerName,total_xT,total_xA,total_assists,player,total_xg,total_goals
0,Bruno Fernandes,8.03714333,8.896666666666667,8,Bruno Fernandes,9.609351878054438,8
1,Trent Alexander-Arnold,7.74910149,6.576666666666667,6,Trent Alexander-Arnold,1.8809928558766829,3
2,Bryan Mbeumo,6.75482386,8.116666666666667,7,Bryan Mbeumo,12.162700398825109,18
3,Cole Palmer,6.66661868,9.52,9,Cole Palmer,15.689640092663467,15
4,Alex Iwobi,6.43546559,7.61,6,Alex Iwobi,4.911133280955254,9
5,Pedro Porro,6.12812412,5.763333333333334,6,Pedro Porro,1.8372661629691713,2
6,Mikkel Damsgaard,5.65586223,8.661666666666667,9,Mikkel Damsgaard,3.3613949362188573,2
7,Mohamed Salah,5.6072999,10.95,17,Mohamed Salah,25.430216738954186,29
8,Jacob Murphy,5.532837509999999,9.336666666666666,12,Jacob Murphy,6.590987997129559,8
9,Antonee Robinson,5.31484389,7.12,10,Antonee Robinson,1.053890015929937,0
