,playerName,total_xT,total_xA,total_assists,player,total_xg,total_goals
0,Alex Baena,9.49955509,10.77,8,Alex Baena,6.572943949140607,6
1,Lamine Yamal,7.130189949999999,12.26,11,Lamine Yamal,11.014908546581864,8
2,Raphinha,6.92244837,9.01,8,Raphinha,19.06648360285908,18
3,Diego Rico,6.70432355,3.06,2,Diego Rico,0.3332223836332553,0
4,Oscar Mingueza,6.703230219999999,5.05,6,Oscar Mingueza,2.12963562645018,4
5,Johan Mojica,6.64763053,3.87,2,Johan Mojica,0.7568446146324271,1
6,Pedri,6.602896169999999,6.62,5,Pedri,2.5104309329763055,4
7,Daley Blind,6.024268609999999,2.87,2,Daley Blind,0.4028036091476676,0
8,Pablo Maffeo,5.24161419,2.63,2,Pablo Maffeo,0.3449152214452621,0
9,Luis Rioja,5.18530318,4.82,3,Luis Rioja,3.9295826377347107,4
