,playerName,total_xT,total_xA,total_assists,player,total_xg,total_goals
0,Kenny Lala,6.96687886,3.06,1,Kenny Lala,2.9341259710490704,3
1,Junya Ito,6.60119762,7.345,3,Junya Ito,6.05321498401463,4
2,Teji Savanier,5.95464465,6.66,5,Teji Savanier,4.179523410275578,2
3,Jonathan Clauss,5.64021216,6.16,6,Jonathan Clauss,2.750055499374866,3
4,Rayan Cherki,5.42017119,10.2,8,Rayan Cherki,5.321216868236661,8
5,Aron Donnum,4.91909702,5.8,3,Aron Donnum,2.5579674020409584,3
6,Caio Henrique,4.91566,4.69,6,Caio Henrique,0.2076587844640015,0
7,Florent Hanin,4.76912928,2.39,2,Florent Hanin,1.010424076579511,1
8,Gabriel Suazo,4.64295768,4.8500000000000005,6,Gabriel Suazo,0.9292145632207391,0
9,Mason Greenwood,4.53959743,4.73,3,Mason Greenwood,19.282766633667052,22
