,teamName,total_xA,total_assists
14,Bayern Munich,60.5,54
77,PSG,58.83,62
12,Barcelona,58.62,58
62,Man City,56.36,44
78,PSV,54.53,59
72,Newcastle,53.97,50
58,Liverpool,52.87,59
5,Arsenal,50.525,47
13,Bayer Leverkusen,49.42,50
47,Inter,48.910000000000004,48
17,Borussia Dortmund,48.0675,46
65,Monaco,47.63,44
59,Lyon,45.660000000000004,39
84,Real Madrid,44.09,48
107,VfB Stuttgart,43.75,42
25,Chelsea,43.73,43
6,Aston Villa,43.6,43
20,Brentford,43.365,42
7,Atalanta,43.12,39
98,Tottenham,42.42,43
108,Villarreal,42.39,37
109,Werder Bremen,41.64,35
64,Marseille,40.9,40
9,Atletico Madrid,40.399166666666666,43
19,Bournemouth,40.36,36
29,Eintracht Frankfurt,39.86,41
39,Fulham,39.8,39
35,Feyenoord,39.31,36
22,Brighton,39.24,33
1,AZ-Alkmaar,37.1,32
0,AC Milan,36.92,35
100,Twente,35.90571428571429,33
74,Nottingham Forest,35.71666666666667,35
71,Napoli,35.61,34
73,Nice,35.57566666666667,32
18,Borussia M.Gladbach,34.95,38
113,Wolves,34.9,38
2,Ajax,34.82,35
63,Man Utd,34.45,26
27,Crystal Palace,34.06666666666667,30
60,Mainz 05,33.31,29
80,RB Leipzig,33.24,31
49,Juventus,33.07666666666667,30
83,Real Betis,32.64954761904762,30
43,Go Ahead Eagles,32.53,33
24,Celta Vigo,32.16,34
51,Lazio,32.11,33
96,Strasbourg,31.892500000000002,35
8,Atletic Club,31.7,35
57,Lille,31.665,24
112,Wolfsburg,31.6175,32
45,Hoffenheim,30.43,29
16,Bologna,30.43,31
38,Freiburg,30.285,30
88,Rennes,30.008333333333333,29
42,Girona,29.689,27
56,Lens,29.35,21
21,Brest,29.11,27
99,Toulouse,29.03,28
26,Como,28.875833333333333,31
103,Utrecht,28.66,27
32,Everton,28.4,26
89,Roma,28.32,27
104,Valencia,28.122500000000002,22
110,West Ham,28.04,21
75,Osasuna,27.82,19
46,Holstein Kiel,27.491,26
11,Auxerre,27.02,27
92,Sevilla,26.6525,28
50,Las Palmas,26.64,24
91,Saint-Etienne,26.16,27
69,NEC Nijmegen,26.12666666666667,22
102,Union Berlin,25.846666666666668,19
48,Ipswich,25.78,26
10,Augsburg,25.551547619047618,23
82,Rayo Vallecano,25.5165,21
70,Nantes,25.06,25
90,SC Heerenveen,24.645833333333332,21
23,Cagliari,24.479666666666667,23
94,Sparta Rotterdam,24.4725,22
85,Real Sociedad,24.095,19
31,Espanyol,23.915,26
101,Udinese,23.807214285714284,21
55,Leicester,23.78,22
15,Bochum,23.7225,17
76,PEC Zwolle,23.665,22
79,Parma Calcio,23.62,25
36,Fiorentina,23.25,27
97,Torino,22.945,20
40,Genoa,22.779666666666667,22
34,FC Heidenheim,22.286666666666665,20
54,Leganes,22.02,24
87,Reims,22.005,18
44,Heracles,21.55,23
61,Mallorca,21.37,20
41,Getafe,21.225,16
28,Deportivo Alaves,21.049,17
81,RKC Waalwijk,20.915,17
93,Southampton,20.546666666666667,13
37,Fortuna Sittard,20.5,20
68,NAC Breda,20.16,19
3,Almere City,19.990000000000002,13
86,Real Valladolid,19.875,14
95,St. Pauli,19.38,16
52,Le Havre,18.95,16
53,Lecce,18.875,16
30,Empoli,18.45,14
33,FC Groningen,18.29,16
4,Angers,18.25,16
106,Verona,18.058333333333334,15
66,Montpellier,17.38,12
111,Willem II,16.99,14
105,Venezia,16.54,12
67,Monza,16.5,14
