,playerName,xT_from_pass,xT_from_dribble,TotalMinutesPlayed,games_90,xT_from_pass_p90,xT_from_dribble_p90
3,Adam Hlozek,1.0868258800000001,1.05395937,1955.0,22.0,0.04940117636363637,0.047907244090909094
4,Adrian Beck,0.76406788,0.10831865000000003,1680.0,19.0,0.040214098947368423,0.00570098157894737
5,Alassane Plea,2.79898982,0.9571766599999999,1956.0,22.0,0.12722681,0.043508029999999996
6,Aleix Garcia,2.85450174,0.2559696699999999,1552.0,17.0,0.16791186705882352,0.015057039411764702
8,Alex Grimaldo,4.48925826,1.12614883,2781.0,31.0,0.14481478258064515,0.03632738161290323
11,Alexander Nubel,1.5913015,0.08825687000000002,3222.0,36.0,0.044202819444444444,0.0024515797222222227
12,Alexander Prass,2.38409204,0.34393241999999996,1619.0,18.0,0.13244955777777778,0.019107356666666665
14,Alexis Claude-Maurice,0.66377988,0.56256368,2149.0,24.0,0.027657495,0.023440153333333335
18,Alphonso Davies,0.95574322,1.0877354399999999,1623.0,18.0,0.05309684555555556,0.06042974666666666
22,Amos Pieper,1.29177042,0.17693656,1580.0,18.0,0.07176502333333333,0.009829808888888888
23,Andras Schafer,0.739495,0.17762923,1604.0,18.0,0.04108305555555555,0.009868290555555555
29,Andrej Kramaric,3.28384124,1.48032295,2865.0,32.0,0.10262003875,0.0462600921875
31,Angelo Stiller,7.0122186,0.5463071599999999,2888.0,32.0,0.21913183125,0.017072098749999997
33,Ansgar Knauff,2.50130077,1.5592109799999998,1661.0,18.0,0.13896115388888888,0.08662283222222221
34,Anthony Caci,6.41125835,0.7563119,2542.0,28.0,0.2289735125,0.027011139285714286
35,Anthony Jung,2.14173827,0.29917816999999997,2006.0,22.0,0.09735173954545454,0.013599007727272726
38,Anton Stach,3.70498124,0.71226448,2713.0,30.0,0.12349937466666666,0.023742149333333334
39,Antonio Nusa,1.52946009,0.78430676,1641.0,18.0,0.084970005,0.04357259777777778
41,Armin Gigovic,0.72357311,0.25247341999999995,1908.0,21.0,0.034455862380952385,0.012022543809523807
47,Arthur Chaves,0.8519052699999999,-0.10786325,2296.0,26.0,0.03276558730769231,-0.0041485865384615385
48,Arthur Theate,3.98781886,0.6248973999999999,2854.0,32.0,0.124619339375,0.019528043749999998
