,playerName,xT_from_pass,xT_from_dribble,TotalMinutesPlayed,games_90,xT_from_pass_p90,xT_from_dribble_p90
1,Aaron Ramsdale,1.99388211,0.02340218,2797.0,31.0,0.06431877774193548,0.0007549090322580646
2,Aaron Wan-Bissaka,3.29969349,1.36132707,3185.0,35.0,0.09427695685714287,0.038895059142857145
3,Abdoulaye Doucoure,0.3726797200000001,0.69272923,2638.0,29.0,0.01285102482758621,0.023887214827586205
8,Adam Smith,0.84731275,0.16638571,1577.0,18.0,0.04707293055555555,0.009243650555555556
11,Adama Traore,3.6683254499999998,1.3207631,1850.0,21.0,0.1746821642857143,0.06289348095238095
13,Alejandro Garnacho,0.17491019000000002,3.2280466299999997,2375.0,26.0,0.006727315000000001,0.1241556396153846
14,Alex Iwobi,6.47379415,2.55080729,3070.0,34.0,0.19040571029411765,0.0750237438235294
19,Alexander Isak,2.63760952,1.93512357,2769.0,31.0,0.08508417806451612,0.062423340967741936
20,Alexis Mac Allister,2.68333696,0.28210550999999995,2643.0,29.0,0.09252886068965517,0.00972777620689655
24,Alisson Becker,0.48181594000000005,0.044267429999999997,2487.0,28.0,0.017207712142857146,0.0015809796428571427
25,Alphonse Areola,0.9328761099999999,0.0052562999999999855,2319.0,26.0,0.03587985038461538,0.00020216538461538406
27,Amad Diallo,1.9020461599999998,1.76085707,1935.0,22.0,0.08645664363636363,0.08003895772727272
28,Amadou Onana,1.3670397399999998,0.39106527999999996,1645.0,18.0,0.07594665222222222,0.021725848888888885
29,Andre,0.6615212899999998,0.18565731,2484.0,28.0,0.02362576035714285,0.006630618214285714
30,Andre Onana,0.7879386199999999,0.061758129999999994,3275.0,36.0,0.021887183888888887,0.0017155036111111109
31,Andreas Pereira,1.94676171,0.39572228,2024.0,22.0,0.08848916863636364,0.017987376363636363
34,Andy Robertson,4.33758344,0.68649547,2527.0,28.0,0.1549136942857143,0.024517695357142856
35,Anthony Elanga,2.59221769,1.87196565,2449.0,27.0,0.09600806259259259,0.0693320611111111
36,Anthony Gordon,4.03714751,2.8500957,2480.0,28.0,0.14418383964285714,0.10178913214285713
