,playerName,xT_from_pass,xT_from_dribble,TotalMinutesPlayed,games_90,xT_from_pass_p90,xT_from_dribble_p90
0,Abde Ezzalzouli,1.23904167,2.46145685,2015.0,22.0,0.05632007590909091,0.11188440227272727
2,Abdel Abqar,1.56779663,0.15003655999999999,2617.0,29.0,0.054061952758620684,0.00517367448275862
5,Abdul Mumin,1.0069634299999999,0.17171770000000003,2228.0,25.0,0.04027853719999999,0.006868708000000001
6,Abel Bretones,2.78360709,0.78247134,2200.0,24.0,0.11598362875,0.0326029725
12,Adri Embarba,1.36292462,0.51807186,1708.0,19.0,0.0717328747368421,0.027266940000000003
13,Adria Alti,0.84155398,0.23060612,1616.0,18.0,0.04675299888888889,0.012811451111111111
14,Adria Pedrosa,2.12619872,0.5518429499999999,2313.0,26.0,0.08177687384615386,0.021224728846153843
15,Adrian,0.34269373,0.04797006,1918.0,21.0,0.016318749047619048,0.0022842885714285713
21,Aimar Oroz,1.37895806,1.03261194,2986.0,33.0,0.04178660787878788,0.03129127090909091
24,Aitor Paredes,1.23553674,0.20213498000000002,1816.0,20.0,0.061776836999999994,0.010106749000000002
27,Albert Sambi Lokonga,0.9817974199999999,0.27612929999999997,1547.0,17.0,0.057752789411764704,0.016242899999999998
29,Alberto Moleiro,1.86022429,1.7356620699999998,2851.0,32.0,0.0581320090625,0.054239439687499995
31,Alejandro Balde,1.30492695,1.4600962899999999,2309.0,26.0,0.05018949807692308,0.05615754961538461
32,Alejandro Catena,2.1752379299999998,0.19827308000000002,3163.0,35.0,0.062149655142857134,0.005664945142857143
37,Alex Baena,9.651377459999999,1.3372108999999999,2657.0,30.0,0.32171258199999997,0.04457369666666666
38,Alex Berenguer,2.93332778,0.94362343,2316.0,26.0,0.11282029923076922,0.03629320884615385
39,Alex Kral,0.9875991,0.51123473,2880.0,32.0,0.030862471875,0.0159760853125
41,Alex Remiro,1.26118226,0.03711652,3422.0,38.0,0.03318900684210526,0.0009767505263157895
43,Alex Suarez,1.5188103199999998,0.17429942,2573.0,29.0,0.05237276965517241,0.006010324827586207
44,Alexander Sorloth,-0.03940581999999993,0.10086894000000005,1655.0,18.0,-0.0021892122222222183,0.005603830000000002
52,Alvaro Garcia,3.56090786,1.11152375,2584.0,29.0,0.12278992620689655,0.03832840517241379
58,Ander Guevara,1.19694221,0.20358777,2082.0,23.0,0.052040965652173914,0.008851642173913044
60,Andoni Gorosabel,1.96576605,0.15421004,1544.0,17.0,0.11563329705882353,0.00907117882352941
61,Andre Almeida,2.73263737,0.7581177499999999,1979.0,22.0,0.12421078954545454,0.034459897727272724
64,Andrei Ratiu,3.51364244,1.8706680199999999,3143.0,35.0,0.100389784,0.05344765771428571
70,Ante Budimir,-0.037758599999999906,1.1645615,2967.0,33.0,-0.0011441999999999971,0.035289742424242425
71,Antoine Griezmann,4.0357319,0.41690489,2514.0,28.0,0.14413328214285714,0.014889460357142855
72,Antonio Blanco,3.21596934,0.16220959999999995,2767.0,31.0,0.1037409464516129,0.005232567741935482
74,Antonio Raillo,2.0164773499999997,0.35256274000000004,3227.0,36.0,0.056013259722222215,0.009793409444444446
75,Antonio Rudiger,2.2281386999999997,0.7021610699999999,2436.0,27.0,0.08252365555555555,0.026005965555555552
77,Antonio Sivera,2.99236835,0.03624509,2931.0,33.0,0.09067782878787879,0.0010983360606060606
80,Anuar Tuhami,0.07699557,0.34070447,1731.0,19.0,0.004052398421052632,0.017931814210526316
84,Aritz Elustondo,1.06669968,0.24854924000000003,1631.0,18.0,0.05926109333333333,0.013808291111111114
86,Arnau Martinez,1.33006225,0.55298541,2677.0,30.0,0.04433540833333333,0.018432847
89,Arnaut Danjuma,1.26818271,1.66539598,1614.0,18.0,0.07045459500000001,0.09252199888888889
94,Augusto Batalla,1.4030462799999999,0.047204249999999996,2960.0,33.0,0.042516553939393936,0.001430431818181818
95,Aurelien Tchouameni,1.97081486,0.5536071699999999,2784.0,31.0,0.0635746729032258,0.01785829580645161
97,Ayoze Perez,1.26613829,1.76037595,2074.0,23.0,0.05504949086956522,0.07653808478260869
98,Benat Prados,0.82520127,0.14485265,1754.0,19.0,0.043431645789473686,0.007623823684210526
103,Borja Iglesias,-0.04787145999999991,0.21710714,1957.0,22.0,-0.0021759754545454505,0.009868506363636363
107,Brais Mendez,1.03099769,0.54225961,1582.0,18.0,0.05727764944444444,0.03012553388888889
109,Bryan Gil,1.52657084,1.34028709,1777.0,20.0,0.076328542,0.0670143545
110,Bryan Zaragoza,3.4340819,1.8811785799999998,1789.0,20.0,0.171704095,0.09405892899999999
111,Carl Starfelt,1.11600408,0.2047352,2410.0,27.0,0.04133348444444444,0.007582785185185186
112,Carles Alena,0.7527188300000001,0.15036834,1530.0,17.0,0.04427757823529412,0.008845196470588235
113,Carles Perez,0.89244268,0.4647571,1522.0,17.0,0.05249662823529412,0.027338652941176468
118,Carlos Romero,2.68980115,0.53032075,2617.0,29.0,0.09275176379310344,0.018286922413793105
119,Carlos Vicente,4.6165453,1.59933741,3175.0,35.0,0.1319012942857143,0.04569535457142857
123,Cesar Tarrega,1.46885401,0.54072875,3104.0,34.0,0.043201588529411764,0.01590378676470588
128,Christantus Uche,1.12525468,0.46052291,2542.0,28.0,0.040187667142857146,0.016447246785714287
130,Clement Lenglet,1.57102524,0.46175205999999996,1977.0,22.0,0.07141023818181819,0.020988729999999997
132,Conor Gallagher,0.52067807,0.4262622199999999,1699.0,19.0,0.02740410894736842,0.022434853684210523
133,Copete,0.8459323099999999,-0.26169943999999995,1568.0,17.0,0.04976072411764705,-0.01539408470588235
134,Cristhian Mosquera,2.1288415499999997,0.57384694,3425.0,38.0,0.056022146052631575,0.015101235263157896
137,Cyle Larin,-0.51532074,0.17681089999999997,1725.0,19.0,-0.02712214421052632,0.009305836842105262
138,Daley Blind,5.34109127,0.95650386,2855.0,32.0,0.1669091021875,0.029890745625
146,Dani Parejo,2.45742417,0.08210818999999998,2386.0,27.0,0.09101571,0.0030410440740740734
147,Dani Raba,3.42200224,0.54194508,1869.0,21.0,0.16295248761904763,0.02580690857142857
148,Dani Rodriguez,2.56453058,0.63957266,2236.0,25.0,0.1025812232,0.0255829064
149,Dani Vivian,2.83488888,0.37957060000000004,2732.0,30.0,0.094496296,0.012652353333333335
153,Dario Essugo,0.49873916,0.24361807,2012.0,22.0,0.02266996181818182,0.011073548636363636
154,Darko Brasanac,0.19599916000000006,0.14792328999999999,1717.0,19.0,0.010315745263157898,0.007785436315789473
158,David Lopez,2.4762986799999998,0.6215172200000001,2650.0,29.0,0.08538960965517241,0.02143162827586207
