,playerName,xT_from_pass,xT_from_dribble,TotalMinutesPlayed,games_90,xT_from_pass_p90,xT_from_dribble_p90
5,Abdoulaye Ndiaye,0.95246345,0.21940429,1876.0,21.0,0.045355402380952384,0.010447823333333333
6,Abdoulaye Toure,1.35437693,0.21059033,2344.0,26.0,0.05209142038461538,0.008099628076923077
9,Achraf Hakimi,2.96699294,1.34651564,2072.0,23.0,0.12899969304347825,0.05854415826086957
11,Adrien Rabiot,1.4097788,1.0272442899999998,2542.0,28.0,0.05034924285714286,0.036687296071428566
12,Adrien Thomasson,1.5825038999999999,0.60197141,2629.0,29.0,0.054569099999999995,0.020757634827586205
13,Adrien Truffert,2.54479357,0.8645253599999999,2805.0,31.0,0.08209011516129032,0.027887914838709674
16,Ainsley Maitland-Niles,2.5884917499999998,0.47314917999999995,2077.0,23.0,0.11254311956521738,0.02057170347826087
17,Aissa Mandi,1.9138261899999998,0.24991873000000003,1827.0,20.0,0.09569130949999999,0.012495936500000002
25,Alexandre Lacazette,1.56358638,0.05485385999999997,2072.0,23.0,0.06798201652173913,0.0023849504347826073
27,Alexsandro Ribeiro,2.6534816699999997,1.18109256,2701.0,30.0,0.08844938899999999,0.039369752
34,Amine Gouiri,0.5950667700000001,0.8609345,2126.0,24.0,0.024794448750000003,0.03587227083333334
37,Amir Murillo,2.78740867,0.6048414,2398.0,27.0,0.10323735814814815,0.02240153333333333
39,Andre Ayew,-0.08997828999999996,0.010978400000000006,1516.0,17.0,-0.005292840588235292,0.000645788235294118
43,Andrey Santos,1.5562619899999999,0.4133968,2946.0,33.0,0.04715945424242424,0.012527175757575757
45,Andy Diouf,1.4875919,1.04136111,2271.0,25.0,0.059503676,0.0416544444
50,Anthony Lopes,0.52776842,0.013357529999999996,1549.0,17.0,0.03104520117647059,0.0007857370588235292
56,Arnaud Kalimuendo,0.59059146,1.14200973,2628.0,29.0,0.02036522275862069,0.03937964586206897
58,Aron Donnum,4.8534675599999995,1.51357564,2704.0,30.0,0.161782252,0.05045252133333333
60,Arthur Desmas,0.30557653999999995,0.000341729999999988,1752.0,19.0,0.01608297578947368,1.798578947368358e-05
63,Aurelio Buta,1.47993694,0.27816979000000003,1956.0,22.0,0.06726986090909091,0.012644081363636366
69,Azor Matusiwa,1.4997615,0.16123949999999998,2117.0,24.0,0.0624900625,0.0067183124999999995
71,Bafode Diakite,1.7068304699999999,0.6670662300000001,2797.0,31.0,0.055059047419354835,0.02151826548387097
75,Becir Omeragic,0.75382492,0.26935797,1798.0,20.0,0.037691246,0.0134678985
78,Benjamin Andre,1.9781489799999998,0.26183338,2691.0,30.0,0.06593829933333333,0.008727779333333333
79,Benjamin Bouchouari,1.6432429499999999,0.4202796,1863.0,21.0,0.07824966428571428,0.020013314285714283
