,playerName,xT_from_pass,xT_from_dribble,TotalMinutesPlayed,games_90,xT_from_pass_p90,xT_from_dribble_p90
0,Aaron Martin,6.76363106,0.56141217,2984.0,33.0,0.20495851696969697,0.017012489999999998
2,Adam Marusic,0.9239598099999999,0.13666178999999998,2237.0,25.0,0.0369583924,0.005466471599999999
3,Adam Masina,1.5647081999999999,0.06037330000000001,1808.0,20.0,0.07823540999999999,0.0030186650000000007
5,Ademola Lookman,3.4968491,2.76481262,2149.0,24.0,0.14570204583333332,0.11520052583333333
13,Alberto Dossena,0.57537407,-0.15266534999999998,1912.0,21.0,0.027398765238095237,-0.0072697785714285704
14,Alberto Grassi,0.6276667899999999,0.07433396999999997,2089.0,23.0,0.027289860434782605,0.0032319117391304336
16,Alberto Moreno,2.73361652,0.30063929999999994,1799.0,20.0,0.136680826,0.015031964999999998
19,Alessandro Bastoni,4.88293306,1.35836464,2455.0,27.0,0.1808493725925926,0.05030980148148148
20,Alessandro Bianco,2.0726393599999997,0.38969706,2445.0,27.0,0.07676442074074073,0.014433224444444444
21,Alessandro Buongiorno,1.3057843399999998,0.41030675000000005,1958.0,22.0,0.05935383363636362,0.01865030681818182
26,Alessandro Vogliacco,1.62393204,0.21547334999999998,1561.0,17.0,0.09552541411764705,0.01267490294117647
27,Alessandro Zanoli,1.14693564,1.4063105,1776.0,20.0,0.057346782,0.070315525
30,Alessio Romagnoli,1.4440930699999999,0.29756208,2605.0,29.0,0.04979631275862068,0.010260761379310345
33,Alex Meret,0.37208950999999996,0.06524318999999999,2975.0,33.0,0.011275439696969695,0.0019770663636363636
40,Alieu Fadera,1.2037034500000001,0.97761407,1747.0,19.0,0.06335281315789475,0.051453372105263157
44,Amin Sarr,0.3702288100000001,0.16145196000000006,1780.0,20.0,0.018511440500000004,0.008072598000000004
46,Amir Rrahmani,3.45651619,0.83922843,3392.0,38.0,0.09096095236842106,0.022084958684210527
50,Andrea Cambiaso,2.24957532,1.41019044,2087.0,23.0,0.09780762260869565,0.06131262782608696
51,Andrea Carboni,0.91128742,0.14979624000000002,1990.0,22.0,0.04142215545454545,0.006808920000000001
54,Andrea Pinamonti,-0.07443791999999996,0.4384057,2866.0,32.0,-0.002326184999999999,0.013700178125
57,Ange-Yoan Bonny,0.27751947000000005,0.44222193,2364.0,26.0,0.01067382576923077,0.017008535769230768
58,Angelino,4.82384614,0.5251064599999999,3137.0,35.0,0.13782417542857142,0.015003041714285712
62,Antoine Makoumbou,1.07211269,0.11643891999999995,2090.0,23.0,0.0466135952173913,0.005062561739130432
64,Antonino Gallo,3.76197022,0.7995546299999999,2477.0,28.0,0.13435607928571427,0.028555522499999996
68,Ardian Ismajli,0.55069418,0.04753841999999999,2440.0,27.0,0.020396080740740744,0.001760682222222222
70,Armando Izzo,1.1321438,0.25664519999999996,2430.0,27.0,0.04193125185185185,0.009505377777777777
71,Artem Dovbyk,-0.8822977799999999,0.23885933,2395.0,27.0,-0.03267769555555555,0.008846641851851852
75,Balthazar Pierret,0.7920754199999999,0.30919069,1681.0,19.0,0.04168817999999999,0.016273194210526316
79,Benjamin Pavard,1.64357171,0.41379267999999997,1666.0,19.0,0.08650377421052631,0.021778562105263157
81,Berat Djimsiti,1.78334054,0.6842793,2558.0,28.0,0.06369073357142857,0.02443854642857143
86,Botond Balogh,0.68238966,0.12498266000000002,2040.0,23.0,0.029669115652173915,0.005434028695652175
87,Boulaye Dia,0.021394260000000026,0.26020303,2028.0,23.0,0.0009301852173913055,0.011313175217391305
91,Bryan Cristante,1.27994963,0.5473585799999999,1947.0,22.0,0.05817952863636364,0.024879935454545452
93,Carlos Augusto,0.89581327,0.7351118,1626.0,18.0,0.04976740388888889,0.040839544444444445
94,Casper Tengstedt,0.19240205000000002,0.98178906,1546.0,17.0,0.011317767647058824,0.057752297647058824
97,Charles De Ketelaere,3.35070736,1.76487419,2012.0,22.0,0.15230488,0.08022155409090909
98,Che Adams,0.31446547,-0.02810691,2498.0,28.0,0.011230909642857143,-0.0010038182142857142
105,Christian Pulisic,2.52233892,1.57757518,2382.0,26.0,0.09701303538461539,0.06067596846153846
111,Dan Ndoye,1.18751601,1.95462231,2005.0,22.0,0.053978000454545455,0.08884646863636364
118,Daniele Ghilardi,1.33449512,0.19071758,1932.0,21.0,0.06354738666666666,0.009081789523809523
124,Dany Mota,0.41308444000000005,0.9017272599999999,2091.0,23.0,0.017960193043478262,0.039205533043478256
128,David de Gea,1.3435440399999998,0.06914251,3027.0,34.0,0.03951600117647058,0.0020336032352941177
133,Davide Zappacosta,3.4198419099999997,1.11621807,2039.0,23.0,0.14868877869565217,0.048531220434782606
135,Dennis Man,1.8592155399999999,1.3313281,2042.0,23.0,0.08083545826086956,0.0578838304347826
136,Denzel Dumfries,2.57334803,0.65918345,2006.0,22.0,0.116970365,0.02996288409090909
137,Devis Vasquez,1.29389343,0.05287257999999999,2827.0,31.0,0.041738497741935485,0.001705567096774193
139,Diego Coppola,0.7253000399999999,0.1200546,2880.0,32.0,0.022665626249999998,0.00375170625
141,Dodo,4.87816735,2.30564751,3067.0,34.0,0.14347551029411765,0.06781316205882353
142,Domagoj Bradaric,2.0355867,0.36376423999999996,1840.0,20.0,0.101779335,0.018188212
146,Dusan Vlahovic,-0.3884916299999999,0.41429044,1807.0,20.0,-0.019424581499999996,0.020714522
148,Ederson,4.93542874,0.93751241,2895.0,32.0,0.154232148125,0.0292972628125
150,Edoardo Goldaniga,2.23945531,0.32544352000000004,2637.0,29.0,0.07722259689655173,0.011222190344827588
152,Elia Caprile,0.89928367,0.02593916999999999,1858.0,21.0,0.0428230319047619,0.001235198571428571
155,Emanuele Valeri,4.30966365,1.16158574,2772.0,31.0,0.13902140806451613,0.037470507741935485
161,Emmanuel Gyasi,2.05733958,0.34795263,3178.0,35.0,0.05878113085714285,0.009941503714285713
162,Enrico Delprato,1.84029847,0.36700739,2828.0,31.0,0.05936446677419355,0.011838948064516129
166,Evan Ndicka,2.17292071,0.25043142,3391.0,38.0,0.05718212394736842,0.00659030052631579
168,Fabio Miretti,1.20787034,0.5853168799999999,1701.0,19.0,0.06357212315789473,0.030806151578947366
173,Federico Baschirotto,1.4041759999999999,0.28498216000000004,3295.0,37.0,0.0379507027027027,0.007702220540540541
175,Federico Dimarco,3.00981827,0.5031854499999999,2007.0,22.0,0.13680992136363634,0.022872065909090907
176,Federico Gatti,1.10136164,0.56519422,2284.0,25.0,0.044054465599999995,0.022607768799999997
179,Fikayo Tomori,1.3563220599999999,0.30114007000000004,1534.0,17.0,0.07978365058823529,0.017714121764705885
186,Florian Thauvin,4.26665809,2.19957345,1989.0,22.0,0.19393900409090908,0.09998061136363635
188,Francesco Acerbi,1.60258092,0.21659041,1693.0,19.0,0.08434636421052633,0.011399495263157896
191,Francesco Zampano,1.08380146,0.61085939,1702.0,19.0,0.05704218210526316,0.03215049421052631
194,Frank Anguissa,1.50589468,0.21989713,2847.0,32.0,0.04705920875,0.0068717853125
195,Frederic Guilbert,4.03229824,0.43784022,2355.0,26.0,0.15508839384615386,0.01684000846153846
197,Gabriel Strefezza,2.16970397,1.27329729,2529.0,28.0,0.0774894275,0.04547490321428571
198,Gabriele Zappa,5.07622313,0.6072632699999999,2922.0,32.0,0.1586319728125,0.018976977187499997
201,Gaetano Oristanio,1.93670987,0.9922118999999999,2328.0,26.0,0.07448884115384616,0.03816199615384615
203,Georgios Kyriakopoulos,3.00732316,0.91400315,2698.0,30.0,0.10024410533333333,0.030466771666666666
206,Gianluca Busio,1.2017904700000002,0.5664357799999999,2547.0,28.0,0.04292108821428572,0.020229849285714283
207,Gianluca Caprari,0.8129668600000001,0.52273333,1551.0,17.0,0.04782158,0.030749019411764705
210,Gianluca Mancini,2.69066757,0.71099092,3099.0,34.0,0.07913728147058824,0.020911497647058824
214,Giovanni Di Lorenzo,4.8470653,0.6483577899999999,3321.0,37.0,0.13100176486486487,0.01752318351351351
218,Giuseppe Pezzella,4.2932589199999995,0.98405939,2787.0,31.0,0.13849222322580643,0.03174385129032258
220,Guillermo Maripan,1.6739532099999999,0.19121341000000003,2255.0,25.0,0.0669581284,0.007648536400000001
221,Gustav Isaksen,1.45967261,2.07002578,2147.0,24.0,0.06081969208333333,0.08625107416666666
223,Hakan Calhanoglu,3.53801118,0.84873838,1841.0,20.0,0.17690055899999999,0.042436919000000003
225,Hans Nicolussi Caviglia,2.5705005,0.09277689000000001,2805.0,31.0,0.08291937096774193,0.002992802903225807
226,Hassane Kamara,2.46384139,0.6738037299999999,1922.0,21.0,0.11732578047619047,0.0320858919047619
227,Henrikh Mkhitaryan,3.53535559,1.12290086,2451.0,27.0,0.13093909592592592,0.041588920740740734
235,Isak Hien,0.81152149,-0.02344407000000001,2338.0,26.0,0.031212365,-0.0009016950000000004
240,Ivan Provedel,1.21269621,0.12339566,2750.0,31.0,0.03911923258064516,0.003980505161290323
242,Jackson Tchatchoua,2.77695219,1.16627901,3165.0,35.0,0.07934149114285714,0.03332225742857143
247,Jaka Bijol,2.16268509,0.61314754,2981.0,33.0,0.06553591181818182,0.018580228484848485
249,Jay Idzes,1.75815473,0.4984303499999999,3192.0,35.0,0.05023299228571428,0.01424086714285714
250,Jean Butez,0.7283938799999999,0.022038859999999997,1609.0,18.0,0.04046632666666666,0.0012243811111111108
254,Jens Odgaard,1.12517558,0.35872886,1802.0,20.0,0.056258779,0.017936443
256,Jesper Karlstrom,1.99521731,0.33609133999999996,3047.0,34.0,0.058682862058823525,0.009885039411764704
258,Jhon Lucumi,1.4500450999999999,0.5398942800000001,2411.0,27.0,0.053705374074074066,0.019996084444444447
261,Joel Pohjanpalo,0.36499363,0.15493888,1636.0,18.0,0.02027742388888889,0.008607715555555555
263,Johan Vasquez,1.5611089299999998,0.27008361000000003,3018.0,34.0,0.04591496852941176,0.007943635588235295
273,Juan Miranda,5.61751337,0.30488139,2159.0,24.0,0.23406305708333333,0.01270339125
278,Jurgen Ekkelenkamp,1.03084282,0.31729379999999996,1776.0,20.0,0.051542141,0.015864689999999997
283,Kenan Yildiz,2.85222661,2.3519486,2312.0,26.0,0.10970102346153847,0.09045956153846155
287,Khephren Thuram,1.42458138,1.08670348,2179.0,24.0,0.0593575575,0.04527931166666666
